table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Wyoming: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Wyoming,493786,494300,494657.0,500017.0,503453.0,509106.0,514157.0,522667.0,534876.0,546043.0,559851.0,563626,564460
.Albany County,32029,31966,32419.0,32675.0,33098.0,33580.0,33631.0,33950.0,33858.0,34643.0,35743.0,36299,36438
.Big Horn County,11442,11398,11209.0,11157.0,11073.0,11231.0,11193.0,11222.0,11350.0,11419.0,11541.0,11668,11710
.Campbell County,33705,33979,34699.0,36193.0,36586.0,36907.0,37888.0,39497.0,41651.0,42846.0,45650.0,46133,46252
.Carbon County,15626,15582,15217.0,15256.0,15240.0,15236.0,15077.0,15136.0,15494.0,15658.0,15977.0,15885,15853
.Converse County,12046,12083,11996.0,12196.0,12232.0,12350.0,12595.0,12801.0,13071.0,13486.0,13839.0,13833,13823
.Crook County,5886,5902,5778.0,5926.0,5981.0,6052.0,6176.0,6286.0,6617.0,6823.0,6965.0,7083,7112
.Fremont County,35805,35840,35718.0,36015.0,36130.0,36383.0,36838.0,37408.0,38132.0,38907.0,39685.0,40123,40243
.Goshen County,12537,12561,12475.0,12381.0,12374.0,12473.0,12460.0,12538.0,12620.0,12772.0,12967.0,13249,13322
.Hot Springs County,4877,4851,4763.0,4743.0,4632.0,4629.0,4604.0,4632.0,4647.0,4698.0,4819.0,4812,4803
.Johnson County,7084,7108,7167.0,7371.0,7496.0,7554.0,7685.0,7796.0,8146.0,8460.0,8565.0,8569,8567
.Laramie County,81617,81825,82554.0,83226.0,84084.0,85427.0,85732.0,86819.0,87654.0,89077.0,90430.0,91738,92127
.Lincoln County,14568,14621,14697.0,14858.0,15117.0,15539.0,15917.0,16429.0,17013.0,17629.0,18082.0,18106,18080
.Natrona County,66541,66603,66978.0,67554.0,68246.0,69035.0,69922.0,70806.0,72365.0,73682.0,75238.0,75450,75507
.Niobrara County,2410,2396,2357.0,2293.0,2280.0,2319.0,2315.0,2321.0,2407.0,2467.0,2475.0,2484,2482
.Park County,25788,25821,25696.0,25761.0,25988.0,26078.0,26372.0,26789.0,27209.0,27594.0,28008.0,28205,28271
.Platte County,8792,8739,8765.0,8766.0,8689.0,8730.0,8681.0,8690.0,8682.0,8622.0,8608.0,8667,8673
.Sheridan County,26563,26584,26623.0,26839.0,26938.0,26942.0,27075.0,27422.0,27845.0,28465.0,29017.0,29116,29152
.Sublette County,5913,5963,6026.0,6389.0,6687.0,7072.0,7515.0,7957.0,8800.0,9474.0,10134.0,10247,10247
.Sweetwater County,37620,37552,36899.0,37428.0,37450.0,38026.0,38739.0,39749.0,41470.0,42358.0,44133.0,43806,43621
.Teton County,18257,18381,18653.0,18837.0,19066.0,19467.0,19632.0,20014.0,20472.0,20988.0,21232.0,21294,21302
.Uinta County,19745,19666,19413.0,19587.0,19480.0,19470.0,19494.0,19709.0,20171.0,20613.0,21054.0,21118,21137
.Washakie County,8292,8252,8068.0,7988.0,7976.0,7960.0,8022.0,7979.0,8169.0,8229.0,8423.0,8533,8556
.Weston County,6643,6627,6487.0,6578.0,6610.0,6646.0,6594.0,6717.0,7033.0,7133.0,7266.0,7208,7182
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Wyoming: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-56)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
