table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of West Virginia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
West Virginia,1808193,1807021,1801481.0,1805414.0,1812295.0,1816438.0,1820492.0,1827912.0,1834052.0,1840310.0,1847775.0,1852994,1853973
.Barbour County,15555,15560,15436.0,15569.0,15639.0,15629.0,15722.0,15922.0,16036.0,16241.0,16479.0,16589,16601
.Berkeley County,75899,76357,78428.0,80875.0,84524.0,88258.0,92114.0,96318.0,99132.0,101629.0,102830.0,104169,104641
.Boone County,25548,25473,25372.0,25505.0,25545.0,25455.0,25311.0,25101.0,25115.0,24794.0,24766.0,24629,24585
.Braxton County,14697,14713,14702.0,14667.0,14632.0,14696.0,14682.0,14585.0,14585.0,14587.0,14512.0,14523,14523
.Brooke County,25427,25366,25237.0,25156.0,25094.0,24867.0,24703.0,24399.0,24235.0,24168.0,24153.0,24069,24017
.Cabell County,96783,96735,96035.0,95741.0,95554.0,95239.0,94821.0,94943.0,95059.0,95209.0,96040.0,96319,96378
.Calhoun County,7587,7596,7480.0,7443.0,7409.0,7411.0,7507.0,7531.0,7588.0,7621.0,7560.0,7627,7640
.Clay County,10336,10302,10153.0,10166.0,10061.0,10055.0,9852.0,9695.0,9696.0,9603.0,9505.0,9386,9360
.Doddridge County,7366,7396,7588.0,7627.0,7741.0,7669.0,7808.0,7848.0,7970.0,8034.0,8124.0,8202,8201
.Fayette County,47591,47507,47067.0,46935.0,47054.0,46717.0,46229.0,46200.0,46243.0,46171.0,46034.0,46039,46042
.Gilmer County,7155,7208,7309.0,7409.0,7615.0,7764.0,7905.0,8083.0,8248.0,8408.0,8529.0,8693,8704
