table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Pennsylvania: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Pennsylvania,12280548,12284173,12298970.0,12331031.0,12374658.0,12410722.0,12449990.0,12510809.0,12563937.0,12612285.0,12666858.0,12702379,12709630
.Adams County,91207,91457,92591.0,93934.0,95503.0,97300.0,98606.0,99899.0,100502.0,101056.0,101252.0,101407,101485
.Allegheny County,1281795,1279651,1272416.0,1265577.0,1258420.0,1247531.0,1234787.0,1226025.0,1222482.0,1221071.0,1222171.0,1223348,1223583
.Armstrong County,72345,72268,71956.0,71747.0,71645.0,71404.0,70602.0,70030.0,69845.0,69611.0,69120.0,68941,68839
.Beaver County,181448,181054,179391.0,178277.0,177523.0,176395.0,174820.0,173259.0,172161.0,171336.0,170524.0,170539,170567
.Bedford County,49890,49928,49778.0,49742.0,49812.0,49829.0,49691.0,49871.0,49889.0,50052.0,49889.0,49762,49709
.Berks County,373712,374546,377487.0,381338.0,385846.0,390848.0,395933.0,401834.0,405223.0,407737.0,409904.0,411442,411850
.Blair County,129105,128981,128471.0,127631.0,127353.0,127194.0,126730.0,127002.0,127048.0,127112.0,127161.0,127089,127031
.Bradford County,62747,62756,62616.0,62585.0,62388.0,62386.0,62501.0,62345.0,62343.0,62318.0,62418.0,62622,62651
.Bucks County,597548,599085,602883.0,607157.0,610174.0,613763.0,616302.0,619544.0,621336.0,623297.0,624648.0,625249,625472
.Butler County,174105,174444,175621.0,177146.0,178289.0,178912.0,179522.0,181009.0,181690.0,182673.0,183337.0,183862,184059
.Cambria County,152555,152107,150902.0,149831.0,148836.0,147886.0,146975.0,146093.0,145283.0,144646.0,144186.0,143679,143498
.Cameron County,5971,5930,5875.0,5775.0,5702.0,5535.0,5431.0,5341.0,5274.0,5186.0,5106.0,5085,5080
.Carbon County,58765,58807,59318.0,59820.0,60452.0,61274.0,62358.0,63105.0,64339.0,64947.0,65204.0,65249,65220
.Centre County,135678,135965,137620.0,140821.0,142926.0,144238.0,145543.0,148734.0,149498.0,151645.0,153052.0,153990,154127
.Chester County,433208,435303,441024.0,447842.0,455111.0,462902.0,470506.0,479137.0,486156.0,491473.0,496291.0,498886,499797
.Clarion County,41739,41735,41547.0,41220.0,41293.0,40509.0,40458.0,40615.0,40399.0,40355.0,40173.0,39988,39910
.Clearfield County,83529,83465,82987.0,82925.0,82422.0,82040.0,81816.0,82461.0,82558.0,82130.0,81942.0,81642,81562
.Clinton County,37879,37926,37945.0,38007.0,38143.0,38227.0,38418.0,38730.0,38859.0,38955.0,39074.0,39238,39230
.Columbia County,63947,63936,64298.0,64601.0,65001.0,65337.0,65535.0,65882.0,66196.0,66645.0,67220.0,67295,67268
.Crawford County,90352,90306,90105.0,90031.0,89846.0,89682.0,89452.0,89496.0,89544.0,89023.0,89044.0,88765,88657
.Cumberland County,213605,213906,215087.0,217318.0,219351.0,221225.0,223361.0,226835.0,228718.0,231357.0,233910.0,235406,235861
.Dauphin County,251770,251911,252500.0,254339.0,255585.0,256194.0,257673.0,260312.0,263096.0,265395.0,267090.0,268100,268220
.Delaware County,551722,551536,552041.0,551929.0,552111.0,551508.0,552153.0,553806.0,554916.0,556246.0,558094.0,558979,559276
.Elk County,35114,35033,34778.0,34413.0,34144.0,33835.0,33385.0,33006.0,32833.0,32504.0,32208.0,31946,31850
.Erie County,280907,280803,280647.0,280379.0,280153.0,277864.0,277211.0,278389.0,278573.0,278686.0,279838.0,280566,280686
.Fayette County,148536,148214,146219.0,144817.0,143596.0,143494.0,142447.0,141165.0,140159.0,138813.0,137450.0,136606,136446
.Forest County,4948,5021,5355.0,5627.0,5909.0,6118.0,6964.0,7519.0,7512.0,7470.0,7737.0,7716,7685
.Franklin County,129495,129745,130604.0,131998.0,133583.0,135742.0,138927.0,142421.0,144840.0,147032.0,148662.0,149618,149834
.Fulton County,14259,14296,14201.0,14251.0,14416.0,14471.0,14540.0,14714.0,14900.0,14900.0,14828.0,14845,14852
.Greene County,40626,40591,40251.0,40096.0,39798.0,39464.0,39806.0,39342.0,39096.0,39074.0,38862.0,38686,38640
.Huntingdon County,45613,45620,45594.0,45705.0,45797.0,45790.0,45771.0,45684.0,45802.0,45853.0,45896.0,45913,45914
.Indiana County,89593,89518,89265.0,89133.0,89346.0,89041.0,88760.0,88716.0,88520.0,88807.0,88836.0,88880,88847
.Jefferson County,45915,45872,45644.0,45507.0,45537.0,45418.0,45353.0,45323.0,45335.0,45260.0,45073.0,45200,45231
.Juniata County,22814,22850,22892.0,23129.0,23434.0,23767.0,23986.0,24107.0,24238.0,24409.0,24549.0,24636,24622
.Lackawanna County,213292,212999,212692.0,211980.0,211769.0,211861.0,212305.0,212595.0,213513.0,214044.0,214138.0,214437,214367
.Lancaster County,470783,471955,475483.0,480118.0,485119.0,489977.0,494722.0,500922.0,506639.0,511957.0,516577.0,519445,520156
.Lawrence County,94567,94547,94085.0,93938.0,93696.0,93250.0,92741.0,92248.0,92007.0,91798.0,91391.0,91108,90968
.Lebanon County,120202,120309,120954.0,121698.0,123154.0,124644.0,126197.0,128302.0,130182.0,131574.0,132959.0,133568,133688
.Lehigh County,311746,312368,314823.0,317252.0,321588.0,326138.0,331327.0,336794.0,340848.0,344743.0,347237.0,349497,350106
.Luzerne County,319429,318842,316665.0,315711.0,315640.0,315439.0,316187.0,316837.0,318232.0,319210.0,320527.0,320918,320795
.Lycoming County,120003,119851,118930.0,118344.0,118108.0,117911.0,117530.0,116983.0,116524.0,116147.0,116081.0,116111,116143
.McKean County,45908,45748,45263.0,45419.0,44980.0,44582.0,44187.0,44309.0,44045.0,43856.0,43701.0,43450,43356
.Mercer County,120368,120211,119861.0,119476.0,119431.0,119113.0,118594.0,118123.0,117794.0,117189.0,116816.0,116638,116558
.Mifflin County,46471,46479,46535.0,46558.0,46420.0,46313.0,46377.0,46435.0,46551.0,46600.0,46662.0,46682,46666
.Monroe County,138615,139710,143775.0,148833.0,154027.0,158181.0,162045.0,165185.0,167352.0,168576.0,169390.0,169842,169896
.Montgomery County,749409,751335,759392.0,766056.0,772666.0,776493.0,779401.0,781519.0,785170.0,789250.0,795494.0,799874,801052
.Montour County,18234,18275,18294.0,18237.0,18239.0,18174.0,18183.0,18114.0,18107.0,18090.0,18165.0,18267,18286
.Northampton County,267446,267740,269363.0,272782.0,276735.0,281374.0,285198.0,289628.0,293212.0,295096.0,296645.0,297735,298101
.Northumberland County,94867,94823,94176.0,94024.0,93910.0,93692.0,93543.0,93475.0,93728.0,94150.0,94774.0,94528,94366
.Perry County,43636,43634,43804.0,43896.0,44216.0,44463.0,44741.0,45121.0,45454.0,45549.0,45874.0,45969,45995
.Philadelphia County,1517562,1514563,1505455.0,1498493.0,1493802.0,1492882.0,1490861.0,1488710.0,1493309.0,1499731.0,1514694.0,1526006,1528306
.Pike County,46125,46380,47594.0,49063.0,50837.0,52293.0,54000.0,55601.0,56627.0,57739.0,57671.0,57369,57329
.Potter County,18082,18123,18146.0,18273.0,18168.0,18067.0,17914.0,17944.0,17659.0,17464.0,17382.0,17457,17464
.Schuylkill County,150263,149994,149175.0,148705.0,147792.0,147081.0,146976.0,148005.0,148387.0,148463.0,148358.0,148289,148228
.Snyder County,37506,37502,37955.0,38104.0,38319.0,38519.0,38448.0,38946.0,39295.0,39481.0,39550.0,39702,39729
.Somerset County,80047,80034,79523.0,79621.0,79754.0,79402.0,79015.0,78834.0,78490.0,78120.0,78025.0,77742,77626
.Sullivan County,6561,6577,6625.0,6592.0,6574.0,6554.0,6513.0,6487.0,6525.0,6462.0,6449.0,6428,6411
.Susquehanna County,42225,42260,42483.0,42410.0,42685.0,42930.0,43219.0,43376.0,43310.0,43405.0,43346.0,43356,43277
.Tioga County,41346,41309,41496.0,41638.0,41676.0,41724.0,41579.0,41347.0,41371.0,41609.0,41818.0,41981,42008
.Union County,41583,41622,42098.0,42372.0,42622.0,43287.0,43690.0,44666.0,44846.0,45057.0,44795.0,44947,44964
.Venango County,57500,57405,57091.0,56789.0,56590.0,56196.0,56016.0,55761.0,55510.0,55315.0,55087.0,54984,54925
.Warren County,43784,43716,43562.0,43184.0,42896.0,42667.0,42218.0,41972.0,41963.0,41853.0,41831.0,41815,41767
.Washington County,203014,203008,203179.0,203104.0,203859.0,204090.0,205359.0,205992.0,206259.0,207240.0,207571.0,207820,207875
.Wayne County,47679,47843,47994.0,48330.0,48938.0,49423.0,50409.0,52031.0,52341.0,51692.0,52552.0,52822,52895
.Westmoreland County,369990,369664,368698.0,367680.0,367836.0,367281.0,366946.0,366559.0,366318.0,366058.0,365259.0,365169,365012
.Wyoming County,28072,28038,28119.0,28011.0,28074.0,28195.0,28160.0,28194.0,28287.0,28294.0,28268.0,28276,28266
.York County,381791,382743,385773.0,389692.0,395093.0,401403.0,409066.0,418043.0,424919.0,429399.0,433022.0,434972,435490
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Pennsylvania: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-42)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
