table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Maryland: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Maryland,5296647,5311034,5374691.0,5440389.0,5496269.0,5546935.0,5592379.0,5627367.0,5653408.0,5684965.0,5730388.0,5773552,5785982
.Allegany County,74909,74804,74525.0,74204.0,74076.0,74408.0,73979.0,73980.0,74449.0,74638.0,75101.0,75087,75021
.Anne Arundel County,489677,491670,498559.0,504884.0,507769.0,513259.0,516171.0,517698.0,520503.0,525304.0,532395.0,537656,539198
.Baltimore County,753947,755598,762925.0,770147.0,777756.0,784371.0,789110.0,793733.0,796073.0,798651.0,801808.0,805029,805709
.Calvert County,74556,75118,77218.0,80153.0,83007.0,84928.0,86294.0,87043.0,87445.0,87788.0,88244.0,88737,88936
.Caroline County,29735,29773,29814.0,30054.0,30553.0,30653.0,31416.0,32214.0,32720.0,32983.0,33013.0,33066,33093
.Carroll County,150881,151454,154037.0,157930.0,161389.0,163915.0,165519.0,166950.0,167390.0,167433.0,167028.0,167134,167241
.Cecil County,85964,86448,88228.0,90061.0,92444.0,94809.0,96836.0,98821.0,99628.0,100232.0,100816.0,101108,101199
.Charles County,120524,121229,124745.0,128079.0,131942.0,135601.0,138560.0,141164.0,142721.0,143783.0,144804.0,146551,147086
.Dorchester County,30671,30581,30647.0,30526.0,30628.0,31086.0,31422.0,31677.0,32172.0,32466.0,32470.0,32618,32650
.Frederick County,195277,196563,202315.0,209194.0,213827.0,217776.0,221201.0,224211.0,227463.0,229286.0,230942.0,233385,234122
.Garrett County,29852,29838,29812.0,29987.0,30182.0,30147.0,30083.0,30147.0,30148.0,30222.0,30145.0,30097,30063
.Harford County,218914,219797,222753.0,227369.0,231411.0,234849.0,238402.0,241163.0,241634.0,242779.0,243685.0,244826,245177
.Howard County,247876,249590,255211.0,259532.0,263186.0,265919.0,268590.0,271793.0,275196.0,278405.0,283061.0,287085,288376
.Kent County,19201,19252,19330.0,19443.0,19505.0,19513.0,19695.0,19786.0,19801.0,20150.0,20132.0,20197,20222
.Montgomery County,873874,877478,891764.0,903140.0,910498.0,914991.0,921531.0,926492.0,931694.0,942748.0,959013.0,971777,976203
.Prince George's County,801091,803111,817360.0,828893.0,837648.0,845950.0,853271.0,852097.0,849916.0,850167.0,856161.0,863420,865271
.Queen Anne's County,40580,40763,41253.0,42524.0,43688.0,44411.0,44879.0,45716.0,46517.0,47063.0,47532.0,47798,47899
.St. Mary's County,86196,86498,87455.0,89819.0,92333.0,94900.0,96871.0,98849.0,100599.0,101921.0,103273.0,105151,105786
.Somerset County,24746,24710,25157.0,25445.0,25541.0,25807.0,25793.0,26139.0,26534.0,26474.0,26425.0,26470,26481
.Talbot County,33806,33895,34231.0,34628.0,34994.0,35793.0,36423.0,37000.0,37167.0,37307.0,37496.0,37782,37834
.Washington County,131911,132051,133093.0,134831.0,136872.0,139423.0,142084.0,144286.0,146173.0,146674.0,146953.0,147430,147558
.Wicomico County,84638,84899,85637.0,86679.0,88463.0,90210.0,92508.0,94621.0,96110.0,97111.0,98069.0,98733,98843
.Worcester County,46559,46828,47889.0,48752.0,49524.0,49994.0,50181.0,50678.0,51049.0,51196.0,51313.0,51454,51431
.Baltimore city,651262,649086,640733.0,634115.0,629033.0,624222.0,621560.0,621109.0,620306.0,620184.0,620509.0,620961,620583
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Maryland: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-24)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
