table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of New Mexico: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
New Mexico,1819017,1821204,1831690.0,1855309.0,1877574.0,1903808.0,1932274.0,1962137.0,1990070.0,2010662.0,2036802.0,2059179,2065932
.Bernalillo County,556120,557601,564241.0,576532.0,587049.0,600449.0,615320.0,628632.0,638978.0,646879.0,655279.0,662564,664639
.Catron County,3538,3567,3488.0,3501.0,3456.0,3468.0,3425.0,3573.0,3638.0,3631.0,3689.0,3725,3730
.Chaves County,61373,61317,60928.0,60768.0,61248.0,61478.0,62172.0,62486.0,63587.0,64378.0,65110.0,65645,65779
.Cibola County,25588,25633,26488.0,26592.0,26940.0,27167.0,27204.0,27032.0,27258.0,27259.0,27097.0,27213,27247
.Colfax County,14191,14202,14140.0,14215.0,14088.0,14093.0,14031.0,13982.0,13933.0,13764.0,13731.0,13750,13726
.Curry County,45050,44991,44964.0,45133.0,45385.0,46640.0,46981.0,47018.0,46588.0,45512.0,46555.0,48376,48949
.De Baca County,2240,2218,2174.0,2158.0,2132.0,2062.0,2098.0,1994.0,1995.0,2000.0,2002.0,2022,2022
.Doña Ana County,174880,175098,176496.0,178464.0,182045.0,184939.0,189199.0,193701.0,197853.0,200855.0,205401.0,209233,210538
.Eddy County,51633,51399,50765.0,51002.0,51036.0,51242.0,50732.0,51366.0,51923.0,52566.0,53578.0,53829,53890
.Grant County,31004,30882,30692.0,30165.0,29485.0,29038.0,29281.0,29503.0,29841.0,29921.0,29865.0,29514,29399
.Guadalupe County,4677,4693,4791.0,4771.0,4875.0,4731.0,4713.0,4701.0,4759.0,4701.0,4637.0,4687,4693
.Harding County,807,801,781.0,745.0,763.0,782.0,756.0,749.0,732.0,690.0,700.0,695,691
.Hidalgo County,5930,5766,5439.0,5272.0,5127.0,5028.0,4955.0,4921.0,5005.0,5022.0,5019.0,4894,4854
