table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of North Dakota: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
North Dakota,642237,642023,639062.0,638168.0,638817.0,644705.0,646089.0,649422.0,652822.0,657569.0,664968.0,672591,674499
.Adams County,2593,2578,2542.0,2509.0,2469.0,2436.0,2405.0,2366.0,2362.0,2343.0,2325.0,2343,2346
.Barnes County,11772,11692,11446.0,11281.0,11199.0,11202.0,11171.0,11106.0,11057.0,11027.0,11028.0,11066,11062
.Benson County,6961,6943,6898.0,6727.0,6744.0,6788.0,6745.0,6709.0,6683.0,6622.0,6609.0,6660,6685
.Billings County,888,876,877.0,854.0,820.0,792.0,773.0,741.0,762.0,768.0,796.0,783,779
.Bottineau County,7156,7126,6995.0,6835.0,6789.0,6690.0,6650.0,6526.0,6428.0,6370.0,6390.0,6429,6435
.Bowman County,3243,3233,3118.0,3087.0,3089.0,3132.0,3046.0,3020.0,3050.0,3158.0,3137.0,3151,3150
.Burke County,2243,2236,2183.0,2137.0,2108.0,2081.0,2042.0,1975.0,1933.0,1902.0,1962.0,1968,1968
.Burleigh County,69408,69534,70121.0,71090.0,71987.0,72837.0,74375.0,75940.0,77473.0,78678.0,80122.0,81308,81666
.Cass County,123171,123662,125520.0,127119.0,129356.0,133197.0,135181.0,138340.0,141316.0,144290.0,147872.0,149778,150230
.Cavalier County,4832,4811,4696.0,4620.0,4543.0,4456.0,4384.0,4202.0,4056.0,4008.0,3975.0,3993,3991
.Dickey County,5768,5761,5683.0,5611.0,5510.0,5561.0,5496.0,5419.0,5412.0,5305.0,5269.0,5289,5293
.Divide County,2283,2263,2176.0,2192.0,2191.0,2178.0,2116.0,2083.0,2041.0,2022.0,2020.0,2071,2084
.Dunn County,3606,3605,3582.0,3548.0,3526.0,3443.0,3422.0,3432.0,3429.0,3470.0,3513.0,3536,3540
.Eddy County,2756,2742,2683.0,2654.0,2656.0,2641.0,2610.0,2529.0,2503.0,2470.0,2393.0,2385,2378
.Emmons County,4327,4302,4208.0,4107.0,4025.0,3955.0,3825.0,3748.0,3640.0,3588.0,3568.0,3550,3540
.Foster County,3761,3739,3639.0,3577.0,3515.0,3514.0,3564.0,3565.0,3500.0,3436.0,3319.0,3343,3349
.Golden Valley County,1925,1915,1862.0,1825.0,1804.0,1741.0,1709.0,1670.0,1670.0,1650.0,1657.0,1680,1686
.Grand Forks County,66119,66021,65567.0,65409.0,65287.0,67071.0,66629.0,67096.0,66333.0,66917.0,66518.0,66861,66991
.Grant County,2841,2835,2783.0,2699.0,2674.0,2626.0,2599.0,2519.0,2478.0,2440.0,2399.0,2394,2386
.Griggs County,2754,2732,2645.0,2598.0,2578.0,2531.0,2519.0,2457.0,2430.0,2406.0,2420.0,2420,2419
.Hettinger County,2715,2697,2658.0,2641.0,2591.0,2612.0,2587.0,2577.0,2524.0,2479.0,2481.0,2477,2468
.Kidder County,2738,2724,2652.0,2591.0,2606.0,2592.0,2496.0,2509.0,2450.0,2419.0,2396.0,2435,2444
.LaMoure County,4690,4671,4642.0,4598.0,4575.0,4552.0,4447.0,4357.0,4320.0,4218.0,4142.0,4139,4127
.Logan County,2315,2300,2229.0,2209.0,2155.0,2126.0,2074.0,2018.0,2023.0,2000.0,1970.0,1990,1993
.McHenry County,5983,5963,5854.0,5778.0,5749.0,5669.0,5568.0,5507.0,5370.0,5355.0,5373.0,5395,5396
.McIntosh County,3388,3383,3349.0,3292.0,3285.0,3192.0,3137.0,3080.0,2966.0,2911.0,2840.0,2809,2786
.McKenzie County,5738,5722,5647.0,5692.0,5613.0,5611.0,5721.0,5727.0,5812.0,5908.0,6159.0,6360,6415
.McLean County,9346,9396,9261.0,9150.0,9098.0,8948.0,8815.0,8767.0,8811.0,8883.0,8860.0,8962,8985
.Mercer County,8634,8597,8542.0,8536.0,8501.0,8437.0,8366.0,8309.0,8351.0,8295.0,8390.0,8424,8422
.Morton County,25301,25332,25143.0,25195.0,25197.0,25372.0,25576.0,25910.0,26310.0,26696.0,27043.0,27471,27600
.Mountrail County,6636,6625,6625.0,6628.0,6681.0,6798.0,6840.0,6826.0,6991.0,7153.0,7439.0,7673,7733
.Nelson County,3706,3685,3578.0,3442.0,3399.0,3406.0,3384.0,3271.0,3222.0,3176.0,3130.0,3126,3124
.Oliver County,2057,2051,1989.0,1969.0,1944.0,1925.0,1907.0,1863.0,1865.0,1836.0,1844.0,1846,1840
.Pembina County,8620,8590,8376.0,8217.0,8188.0,8088.0,7911.0,7786.0,7585.0,7452.0,7407.0,7413,7420
.Pierce County,4667,4657,4610.0,4577.0,4511.0,4450.0,4398.0,4394.0,4368.0,4372.0,4329.0,4357,4358
.Ramsey County,12062,12001,11822.0,11789.0,11555.0,11451.0,11344.0,11298.0,11320.0,11434.0,11328.0,11451,11476
.Ransom County,5896,5891,5855.0,5822.0,5841.0,5792.0,5770.0,5720.0,5766.0,5677.0,5521.0,5457,5434
.Renville County,2612,2599,2551.0,2566.0,2530.0,2517.0,2519.0,2499.0,2415.0,2387.0,2432.0,2470,2477
.Richland County,17992,17946,17624.0,17422.0,17615.0,17451.0,17306.0,16869.0,16659.0,16488.0,16178.0,16321,16342
.Rolette County,13674,13658,13718.0,13680.0,13595.0,13646.0,13663.0,13625.0,13679.0,13744.0,13798.0,13937,13985
.Sargent County,4362,4349,4320.0,4231.0,4122.0,4060.0,4101.0,4115.0,4057.0,3978.0,3901.0,3829,3805
.Sheridan County,1711,1702,1641.0,1601.0,1564.0,1503.0,1483.0,1435.0,1406.0,1351.0,1349.0,1321,1308
.Sioux County,4043,4103,4036.0,4086.0,4073.0,4077.0,4084.0,4148.0,4094.0,4072.0,4134.0,4153,4159
.Slope County,765,760,749.0,747.0,744.0,732.0,732.0,744.0,711.0,730.0,718.0,727,726
.Stark County,22635,22585,22494.0,22384.0,22431.0,22539.0,22671.0,22770.0,23176.0,23375.0,23786.0,24199,24321
.Steele County,2252,2238,2186.0,2138.0,2113.0,2108.0,2077.0,2026.0,1985.0,1960.0,1930.0,1975,1986
.Stutsman County,21912,21887,21664.0,21525.0,21345.0,21175.0,21132.0,21115.0,20876.0,20812.0,21009.0,21100,21110
.Towner County,2878,2858,2774.0,2710.0,2628.0,2553.0,2478.0,2408.0,2320.0,2234.0,2236.0,2246,2249
.Traill County,8479,8475,8357.0,8326.0,8292.0,8353.0,8317.0,8249.0,8318.0,8157.0,8123.0,8121,8102
.Walsh County,12375,12354,12150.0,11883.0,11814.0,11695.0,11639.0,11501.0,11355.0,11296.0,11195.0,11119,11081
.Ward County,58799,58839,58246.0,57741.0,57193.0,58054.0,57878.0,58030.0,58297.0,58670.0,60213.0,61675,62093
.Wells County,5095,5074,4886.0,4794.0,4694.0,4625.0,4552.0,4404.0,4317.0,4253.0,4202.0,4207,4204
.Williams County,19754,19705,19610.0,19729.0,19705.0,19724.0,19855.0,20122.0,20547.0,20928.0,21820.0,22398,22552
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of North Dakota: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-38)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
