table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Iowa: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Iowa,2926538,2929067,2931997.0,2934234.0,2941999.0,2953635.0,2964454.0,2982644.0,2999212.0,3016734.0,3032870.0,3046355,3049883
.Adair County,8252,8223,8132.0,8059.0,8050.0,8019.0,7932.0,7924.0,7871.0,7747.0,7676.0,7682,7675
.Adams County,4479,4476,4402.0,4370.0,4365.0,4307.0,4226.0,4224.0,4195.0,4151.0,4047.0,4029,4019
.Allamakee County,14687,14674,14333.0,14289.0,14345.0,14324.0,14371.0,14378.0,14335.0,14325.0,14263.0,14330,14355
.Appanoose County,13715,13696,13578.0,13420.0,13522.0,13462.0,13453.0,13319.0,13105.0,12950.0,12896.0,12887,12877
.Audubon County,6826,6804,6664.0,6572.0,6479.0,6430.0,6324.0,6265.0,6222.0,6200.0,6136.0,6119,6107
.Benton County,25312,25326,25532.0,25829.0,25946.0,26181.0,26265.0,26137.0,26066.0,26097.0,26117.0,26076,26073
.Black Hawk County,127990,128019,127765.0,126876.0,126491.0,126682.0,127021.0,127486.0,127756.0,129203.0,130595.0,131090,131221
.Boone County,26206,26251,26249.0,26086.0,26232.0,26372.0,26500.0,26471.0,26553.0,26454.0,26360.0,26306,26281
.Bremer County,23361,23312,23506.0,23386.0,23549.0,23728.0,23833.0,24054.0,24237.0,24162.0,24183.0,24276,24289
.Buchanan County,21092,21064,20952.0,20796.0,20822.0,20910.0,20831.0,20957.0,21069.0,21154.0,21016.0,20958,20936
.Buena Vista County,20415,20361,20241.0,20233.0,20141.0,20000.0,19970.0,19909.0,19798.0,19855.0,20004.0,20260,20332
.Butler County,15307,15299,15065.0,14926.0,14939.0,14985.0,14965.0,14931.0,14961.0,14957.0,14699.0,14867,14911
.Calhoun County,11114,11088,10918.0,10683.0,10488.0,10382.0,10228.0,10093.0,9947.0,9845.0,9684.0,9670,9662
.Carroll County,21433,21382,21225.0,21159.0,21024.0,20936.0,20973.0,20832.0,20869.0,20742.0,20743.0,20816,20838
.Cass County,14689,14675,14488.0,14242.0,14275.0,14142.0,14002.0,14021.0,13988.0,13935.0,13949.0,13956,13952
.Cedar County,18181,18199,18126.0,18150.0,18224.0,18248.0,18213.0,18332.0,18321.0,18460.0,18458.0,18499,18501
.Cerro Gordo County,46454,46389,45844.0,45430.0,45412.0,44993.0,44741.0,44531.0,44461.0,44285.0,44239.0,44151,44104
.Cherokee County,13032,13019,12905.0,12685.0,12579.0,12510.0,12380.0,12215.0,12152.0,12014.0,11953.0,12072,12095
.Chickasaw County,13095,13168,13192.0,12941.0,12770.0,12691.0,12561.0,12603.0,12540.0,12471.0,12465.0,12439,12416
.Clarke County,9131,9194,9207.0,9213.0,9282.0,9307.0,9180.0,9196.0,9149.0,9217.0,9228.0,9286,9300
.Clay County,17369,17360,17256.0,17086.0,16985.0,16960.0,16848.0,16812.0,16725.0,16697.0,16708.0,16667,16650
.Clayton County,18667,18611,18529.0,18369.0,18357.0,18358.0,18269.0,18272.0,18259.0,18209.0,18185.0,18129,18087
.Clinton County,50159,50120,49889.0,49659.0,49585.0,49498.0,49475.0,49487.0,49342.0,49303.0,49147.0,49116,49093
.Crawford County,16945,16944,16960.0,16981.0,16953.0,16941.0,16920.0,16868.0,16931.0,16881.0,16944.0,17096,17132
.Dallas County,41109,41446,43204.0,44960.0,47118.0,50387.0,53042.0,56158.0,59164.0,62144.0,64489.0,66135,66616
.Davis County,8541,8544,8588.0,8586.0,8534.0,8612.0,8583.0,8619.0,8676.0,8675.0,8701.0,8753,8765
.Decatur County,8689,8645,8669.0,8603.0,8575.0,8580.0,8618.0,8576.0,8569.0,8457.0,8506.0,8457,8433
.Delaware County,18422,18416,18294.0,18271.0,18190.0,18066.0,17955.0,17957.0,17981.0,17840.0,17755.0,17764,17751
.Des Moines County,42359,42253,41820.0,41138.0,41047.0,40562.0,40332.0,40192.0,40206.0,40235.0,40379.0,40325,40318
.Dickinson County,16429,16460,16477.0,16351.0,16339.0,16506.0,16644.0,16667.0,16634.0,16690.0,16666.0,16667,16667
.Dubuque County,89133,89201,88932.0,89132.0,90012.0,90462.0,90769.0,91258.0,92130.0,92519.0,92948.0,93653,93880
.Emmet County,11022,10995,10890.0,10815.0,10724.0,10553.0,10527.0,10437.0,10417.0,10448.0,10361.0,10302,10280
.Fayette County,22020,22022,21791.0,21643.0,21604.0,21415.0,21426.0,21265.0,21005.0,20910.0,20939.0,20880,20839
.Floyd County,16898,16854,16660.0,16670.0,16641.0,16586.0,16520.0,16586.0,16497.0,16331.0,16248.0,16303,16310
.Franklin County,10700,10679,10618.0,10674.0,10655.0,10716.0,10766.0,10699.0,10759.0,10690.0,10656.0,10680,10683
.Fremont County,8008,7995,7874.0,7787.0,7743.0,7655.0,7616.0,7622.0,7642.0,7489.0,7453.0,7441,7432
.Greene County,10372,10341,10150.0,10105.0,9996.0,9932.0,9800.0,9611.0,9548.0,9415.0,9329.0,9336,9335
.Grundy County,12370,12368,12319.0,12372.0,12348.0,12383.0,12406.0,12436.0,12317.0,12359.0,12447.0,12453,12447
.Guthrie County,11348,11334,11225.0,11227.0,11343.0,11389.0,11249.0,11150.0,11116.0,11038.0,10939.0,10954,10956
.Hamilton County,16435,16423,16236.0,16337.0,16366.0,16285.0,16261.0,16144.0,15987.0,15863.0,15739.0,15673,15636
.Hancock County,12107,12109,11954.0,11846.0,11905.0,11838.0,11834.0,11729.0,11580.0,11525.0,11371.0,11341,11321
.Hardin County,18806,18807,18669.0,18476.0,18327.0,18164.0,17974.0,17893.0,17789.0,17690.0,17535.0,17534,17519
.Harrison County,15674,15685,15592.0,15421.0,15444.0,15412.0,15362.0,15346.0,15177.0,14946.0,14972.0,14928,14922
.Henry County,20353,20341,20408.0,20086.0,20225.0,20225.0,20354.0,20326.0,20359.0,20307.0,20202.0,20145,20119
.Howard County,9951,9934,9908.0,9860.0,9808.0,9792.0,9760.0,9664.0,9636.0,9625.0,9568.0,9566,9559
.Humboldt County,10384,10377,10335.0,10176.0,10154.0,10121.0,10033.0,10038.0,9935.0,9911.0,9843.0,9815,9796
.Ida County,7839,7804,7704.0,7636.0,7571.0,7457.0,7369.0,7247.0,7228.0,7215.0,7090.0,7089,7078
.Iowa County,15680,15729,15868.0,15911.0,16062.0,16108.0,16297.0,16391.0,16308.0,16337.0,16406.0,16355,16321
.Jackson County,20295,20297,20267.0,20142.0,20148.0,20146.0,20124.0,20092.0,20015.0,19919.0,19841.0,19848,19845
.Jasper County,37229,37252,37377.0,37552.0,37703.0,37645.0,37482.0,37288.0,37167.0,37103.0,36879.0,36842,36815
.Jefferson County,16180,16189,16207.0,16131.0,16194.0,16298.0,16315.0,16401.0,16600.0,16607.0,16782.0,16843,16827
.Johnson County,110983,111455,113546.0,114948.0,116673.0,118891.0,120300.0,122226.0,124541.0,127113.0,129864.0,130882,131225
.Jones County,20227,20259,20254.0,20283.0,20406.0,20613.0,20605.0,20678.0,20803.0,20848.0,20562.0,20638,20649
.Keokuk County,11405,11418,11369.0,11330.0,11186.0,11061.0,10881.0,10713.0,10688.0,10620.0,10552.0,10511,10498
.Kossuth County,17159,17206,16912.0,16670.0,16525.0,16437.0,16287.0,16045.0,15878.0,15685.0,15630.0,15543,15500
.Lee County,38062,37931,37435.0,36960.0,36627.0,36587.0,36364.0,36291.0,36130.0,35819.0,35856.0,35862,35857
.Linn County,191728,192365,194359.0,195987.0,196920.0,198314.0,200395.0,202709.0,205840.0,208558.0,210217.0,211226,211501
.Louisa County,12188,12174,12184.0,12225.0,12230.0,12115.0,11862.0,11904.0,11892.0,11830.0,11416.0,11387,11375
.Lucas County,9412,9369,9386.0,9360.0,9384.0,9508.0,9462.0,9331.0,9280.0,9137.0,8948.0,8898,8885
.Lyon County,11763,11748,11684.0,11670.0,11702.0,11692.0,11677.0,11604.0,11536.0,11545.0,11557.0,11581,11578
.Madison County,14012,14049,14144.0,14312.0,14481.0,14733.0,14918.0,15262.0,15418.0,15517.0,15510.0,15679,15732
.Mahaska County,22319,22299,22407.0,22394.0,22156.0,22240.0,22454.0,22298.0,22388.0,22483.0,22364.0,22381,22376
.Marion County,32048,32104,32583.0,32572.0,32547.0,32618.0,32774.0,33396.0,33279.0,33515.0,33468.0,33309,33234
.Marshall County,39332,39356,39414.0,39297.0,39397.0,39711.0,39646.0,39601.0,39875.0,40151.0,40280.0,40648,40746
.Mills County,14543,14554,14497.0,14546.0,14621.0,14715.0,14905.0,15214.0,15239.0,15214.0,15056.0,15059,15061
.Mitchell County,10877,10868,10736.0,10822.0,10830.0,10898.0,10800.0,10836.0,10812.0,10815.0,10763.0,10776,10781
.Monona County,10020,10009,9860.0,9791.0,9819.0,9681.0,9566.0,9479.0,9423.0,9350.0,9247.0,9243,9231
