table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Arkansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Arkansas,2673293,2678588,2691571.0,2705927.0,2724816.0,2749686.0,2781097.0,2821761.0,2848650.0,2874554.0,2896843.0,2915918,2921606
.Arkansas County,20751,20776,20593.0,20351.0,19981.0,19967.0,19954.0,19785.0,19434.0,19275.0,19134.0,19019,18978
.Ashley County,24217,24179,23824.0,23745.0,23469.0,23156.0,22770.0,22501.0,22229.0,22148.0,21920.0,21853,21832
.Baxter County,38365,38446,38331.0,38506.0,38772.0,39334.0,39992.0,40867.0,41491.0,41519.0,41561.0,41513,41503
.Benton County,153323,154744,159258.0,164926.0,171742.0,179010.0,186756.0,195569.0,203664.0,210807.0,216620.0,221339,222894
.Boone County,33940,34051,34258.0,34448.0,34554.0,34900.0,35492.0,36056.0,36759.0,36974.0,36844.0,36903,36918
.Bradley County,12618,12597,12427.0,12340.0,12263.0,12107.0,12012.0,11778.0,11737.0,11643.0,11538.0,11508,11496
.Calhoun County,5731,5709,5599.0,5655.0,5646.0,5591.0,5675.0,5693.0,5659.0,5528.0,5421.0,5368,5342
.Carroll County,25345,25369,25559.0,25796.0,26033.0,26052.0,26435.0,26615.0,26699.0,26822.0,27158.0,27446,27562
.Chicot County,14101,14062,13758.0,13382.0,13173.0,12879.0,12729.0,12516.0,12313.0,12050.0,11851.0,11800,11782
.Clark County,23541,23474,23516.0,23334.0,23032.0,22904.0,22800.0,22924.0,23139.0,23272.0,23100.0,22995,22979
.Clay County,17594,17537,17307.0,17083.0,16951.0,16827.0,16790.0,16679.0,16464.0,16209.0,16056.0,16083,16077
.Cleburne County,24005,24100,24204.0,24375.0,24711.0,25018.0,25274.0,25430.0,25545.0,25623.0,25870.0,25970,25991
.Cleveland County,8562,8536,8637.0,8634.0,8694.0,8744.0,8859.0,8829.0,8896.0,8775.0,8649.0,8689,8695
.Columbia County,25612,25599,25424.0,25362.0,25106.0,25154.0,25025.0,25133.0,24847.0,24666.0,24622.0,24552,24511
.Conway County,20320,20312,20362.0,20366.0,20461.0,20519.0,20683.0,20753.0,20992.0,21025.0,21257.0,21273,21266
.Craighead County,82139,82519,83276.0,83978.0,85000.0,86331.0,87512.0,89725.0,91350.0,93316.0,95482.0,96443,96771
.Crawford County,53252,53404,54273.0,55026.0,55836.0,56832.0,57779.0,59126.0,60210.0,60933.0,61595.0,61948,62026
.Crittenden County,50855,50915,50919.0,50622.0,50252.0,50266.0,50244.0,50360.0,50438.0,50699.0,50929.0,50902,50937
.Cross County,19529,19458,19382.0,19106.0,18896.0,18782.0,18883.0,18525.0,18172.0,18200.0,17971.0,17870,17851
.Dallas County,9196,9146,9005.0,8826.0,8740.0,8740.0,8589.0,8477.0,8367.0,8282.0,8188.0,8116,8086
.Desha County,15351,15302,14958.0,14583.0,14405.0,14270.0,13992.0,13870.0,13523.0,13273.0,13108.0,13008,12979
.Drew County,18690,18670,18660.0,18410.0,18537.0,18595.0,18618.0,18705.0,18535.0,18481.0,18495.0,18509,18515
.Faulkner County,86036,86501,88830.0,90624.0,93618.0,96162.0,99192.0,102969.0,105637.0,108477.0,110813.0,113237,113980
.Franklin County,17766,17737,17830.0,17856.0,17913.0,17955.0,18073.0,18151.0,18237.0,18229.0,18145.0,18125,18116
.Fulton County,11627,11656,11676.0,11737.0,11831.0,12079.0,12127.0,12119.0,12354.0,12382.0,12231.0,12245,12229
.Garland County,88122,88311,89032.0,89630.0,90483.0,91084.0,92096.0,94077.0,94753.0,95636.0,95840.0,96024,96145
.Grant County,16457,16476,16608.0,16637.0,16731.0,17026.0,17244.0,17442.0,17483.0,17718.0,17751.0,17853,17889
.Greene County,37383,37563,37934.0,38229.0,38604.0,39046.0,39599.0,40469.0,40918.0,41286.0,41723.0,42090,42192
.Hempstead County,23597,23620,23318.0,23199.0,23090.0,22971.0,22924.0,22957.0,22918.0,22624.0,22615.0,22609,22620
.Hot Spring County,30413,30480,30615.0,30877.0,30821.0,31071.0,31565.0,32248.0,32631.0,32737.0,32797.0,32923,32943
.Howard County,14304,14233,14146.0,14070.0,14098.0,13991.0,14025.0,13843.0,13680.0,13804.0,13741.0,13789,13820
.Independence County,34246,34333,34374.0,34512.0,34652.0,34989.0,35155.0,35426.0,35690.0,35859.0,36259.0,36647,36738
.Izard County,13261,13298,13289.0,13273.0,13467.0,13512.0,13524.0,13583.0,13552.0,13681.0,13679.0,13696,13683
.Jackson County,18420,18403,18029.0,18054.0,17914.0,18159.0,18269.0,18092.0,18098.0,17966.0,17945.0,17997,17974
.Jefferson County,84295,84171,83322.0,82760.0,82193.0,81455.0,80562.0,79977.0,78788.0,78354.0,77759.0,77435,77358
.Johnson County,22779,22813,22977.0,23293.0,23587.0,23850.0,24173.0,24596.0,25109.0,25236.0,25374.0,25540,25585
.Lafayette County,8550,8539,8374.0,8240.0,8244.0,8153.0,8042.0,7879.0,7845.0,7806.0,7654.0,7645,7637
.Lawrence County,17762,17672,17749.0,17688.0,17605.0,17541.0,17343.0,17193.0,17286.0,17460.0,17336.0,17415,17424
.Lee County,12578,12527,12358.0,12151.0,11732.0,11512.0,11370.0,11067.0,10823.0,10786.0,10458.0,10424,10412
.Lincoln County,14482,14477,14505.0,14571.0,14578.0,14466.0,14496.0,14315.0,14237.0,14176.0,14185.0,14134,14104
.Little River County,13628,13613,13334.0,13413.0,13361.0,13176.0,13114.0,13147.0,13107.0,13099.0,13228.0,13171,13143
.Logan County,22480,22500,22385.0,22454.0,22707.0,22682.0,22661.0,22689.0,22758.0,22699.0,22429.0,22353,22325
.Lonoke County,52849,53153,54043.0,55184.0,56452.0,58449.0,60225.0,62648.0,64379.0,66086.0,67481.0,68356,68634
.Madison County,14228,14272,14253.0,14137.0,14186.0,14437.0,14714.0,15156.0,15353.0,15619.0,15673.0,15717,15735
.Marion County,16147,16162,16232.0,16149.0,16133.0,16293.0,16464.0,16759.0,16795.0,16996.0,16721.0,16653,16624
.Miller County,40455,40436,40606.0,40923.0,41382.0,41765.0,42181.0,42669.0,42710.0,43047.0,43284.0,43462,43529
.Mississippi County,51999,51849,51017.0,49957.0,48554.0,47777.0,47399.0,46983.0,46850.0,47037.0,46857.0,46480,46349
.Monroe County,10255,10182,9947.0,9700.0,9579.0,9287.0,9176.0,8949.0,8670.0,8456.0,8286.0,8149,8099
.Montgomery County,9222,9263,9221.0,9150.0,9239.0,9334.0,9358.0,9437.0,9478.0,9573.0,9490.0,9487,9472
.Nevada County,9940,9895,9774.0,9652.0,9590.0,9535.0,9479.0,9383.0,9267.0,9062.0,9058.0,8997,8976
.Newton County,8603,8642,8534.0,8534.0,8613.0,8503.0,8467.0,8474.0,8428.0,8423.0,8311.0,8330,8334
.Ouachita County,28776,28677,28088.0,27701.0,27488.0,27107.0,26934.0,26656.0,26448.0,26202.0,26024.0,26120,26134
.Perry County,10199,10223,10306.0,10363.0,10346.0,10352.0,10356.0,10352.0,10496.0,10441.0,10443.0,10445,10441
.Phillips County,26438,26290,25821.0,25067.0,24520.0,24174.0,23946.0,23244.0,22775.0,22411.0,21976.0,21757,21655
.Pike County,11301,11332,11306.0,11321.0,11243.0,11246.0,11216.0,11262.0,11342.0,11283.0,11260.0,11291,11285
.Poinsett County,25617,25617,25498.0,25213.0,25177.0,25039.0,25058.0,24904.0,24813.0,24599.0,24632.0,24583,24568
.Polk County,20234,20268,20189.0,20243.0,20199.0,20057.0,20203.0,20422.0,20377.0,20388.0,20583.0,20662,20680
.Pope County,54492,54541,54986.0,55405.0,55622.0,56606.0,57535.0,58809.0,59793.0,60528.0,61302.0,61754,61867
.Prairie County,9523,9491,9505.0,9406.0,9303.0,9111.0,9046.0,8989.0,8951.0,8806.0,8754.0,8715,8696
.Pulaski County,361370,361876,362866.0,364327.0,365258.0,366608.0,368274.0,371647.0,373403.0,376567.0,380053.0,382748,383632
.Randolph County,18191,18155,18177.0,18115.0,18005.0,18207.0,18086.0,18185.0,18054.0,18072.0,17964.0,17969,17969
.St. Francis County,29330,29325,29072.0,29023.0,29170.0,28905.0,28639.0,28496.0,28394.0,28110.0,28336.0,28258,28174
.Saline County,83559,84084,85473.0,87031.0,88627.0,90961.0,93493.0,96661.0,100043.0,102599.0,105362.0,107118,107532
.Scott County,10986,10980,10950.0,10930.0,10936.0,10872.0,10976.0,11239.0,11287.0,11227.0,11097.0,11233,11278
.Searcy County,8240,8246,8220.0,8150.0,7996.0,8046.0,8110.0,8210.0,8275.0,8274.0,8190.0,8195,8187
.Sebastian County,115101,115578,116488.0,117200.0,117725.0,118168.0,119426.0,121492.0,122946.0,123762.0,125116.0,125744,125920
.Sevier County,15750,15747,15586.0,15702.0,15824.0,16041.0,16298.0,16273.0,16347.0,16606.0,16812.0,17058,17142
.Sharp County,17120,17138,17244.0,17276.0,17381.0,17353.0,17391.0,17629.0,17506.0,17416.0,17373.0,17264,17236
.Stone County,11496,11519,11484.0,11607.0,11704.0,11768.0,11909.0,12262.0,12230.0,12370.0,12340.0,12394,12403
.Union County,45633,45532,44894.0,44769.0,44281.0,43747.0,43134.0,42914.0,42267.0,42222.0,41944.0,41639,41554
.Van Buren County,16182,16221,16332.0,16322.0,16506.0,16664.0,16869.0,17027.0,17226.0,17373.0,17293.0,17295,17265
.Washington County,157805,158851,163151.0,166859.0,171424.0,176837.0,183799.0,190314.0,194526.0,197223.0,199774.0,203065,204123
.White County,67164,67382,68273.0,68796.0,69389.0,70403.0,71355.0,72728.0,73573.0,74848.0,76284.0,77076,77350
.Woodruff County,8738,8686,8675.0,8446.0,8284.0,8102.0,8023.0,7877.0,7648.0,7458.0,7294.0,7260,7249
.Yell County,21127,21147,21145.0,21147.0,21197.0,21074.0,21141.0,21556.0,21633.0,21935.0,22145.0,22185,22206
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Arkansas: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-05)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
