table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Missouri: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Missouri,5596564,5607285,5641142.0,5674825.0,5709403.0,5747741.0,5790300.0,5842704.0,5887612.0,5923916.0,5961088.0,5988927,5996231
.Adair County,24968,24956,24967.0,25072.0,24958.0,24988.0,24849.0,25007.0,24983.0,25399.0,25577.0,25607,25607
.Andrew County,16489,16522,16580.0,16501.0,16608.0,16580.0,16511.0,16861.0,16834.0,16924.0,17036.0,17291,17377
.Atchison County,6424,6389,6344.0,6189.0,6193.0,6153.0,6053.0,5908.0,5909.0,5798.0,5781.0,5685,5658
.Audrain County,25857,25862,25784.0,25800.0,25728.0,25555.0,25725.0,25869.0,25658.0,25774.0,25628.0,25529,25490
.Barry County,33980,33971,33981.0,34111.0,34555.0,34849.0,35241.0,35756.0,35844.0,35935.0,35640.0,35597,35588
.Barton County,12543,12542,12684.0,12780.0,12924.0,12941.0,12976.0,12972.0,12769.0,12589.0,12454.0,12402,12385
.Bates County,16648,16700,16801.0,17009.0,17109.0,17088.0,17117.0,17193.0,17189.0,17194.0,17044.0,17049,17042
.Benton County,17141,17202,17399.0,17588.0,17996.0,18336.0,18688.0,18749.0,19025.0,19046.0,18996.0,19056,19060
.Bollinger County,12012,12047,12294.0,12367.0,12400.0,12427.0,12466.0,12496.0,12554.0,12429.0,12412.0,12363,12332
.Boone County,135477,135940,138181.0,140695.0,143019.0,145348.0,148786.0,152784.0,155666.0,158089.0,160565.0,162642,163232
.Buchanan County,86013,86192,86026.0,86027.0,85887.0,86039.0,86378.0,86543.0,87740.0,88317.0,89233.0,89201,89144
.Butler County,40864,40826,40837.0,41068.0,41131.0,41476.0,41995.0,42246.0,42109.0,42351.0,42683.0,42794,42796
.Caldwell County,8964,8975,9006.0,9041.0,9152.0,9230.0,9273.0,9343.0,9395.0,9359.0,9365.0,9424,9436
.Callaway County,40762,40927,41490.0,41973.0,42023.0,41767.0,42683.0,43118.0,43414.0,43855.0,44041.0,44332,44419
.Camden County,36807,37053,37497.0,38263.0,38832.0,39572.0,40641.0,41832.0,42744.0,43462.0,43762.0,44002,43985
.Cape Girardeau County,68691,68796,69340.0,69735.0,70186.0,71121.0,71793.0,72941.0,73510.0,74141.0,74927.0,75674,75895
.Carroll County,10289,10267,10136.0,10097.0,10000.0,9922.0,9912.0,9743.0,9622.0,9451.0,9314.0,9295,9296
.Carter County,5940,5974,5915.0,5944.0,5994.0,5982.0,6008.0,6030.0,6117.0,6122.0,6138.0,6265,6299
.Cass County,82123,82592,84504.0,86645.0,88020.0,90759.0,92520.0,94494.0,96845.0,98095.0,98835.0,99478,99723
.Cedar County,13713,13720,13901.0,13909.0,13975.0,14073.0,14297.0,14229.0,14169.0,14120.0,13964.0,13982,13973
.Chariton County,8436,8411,8276.0,8277.0,8193.0,8174.0,8092.0,8013.0,7900.0,7829.0,7767.0,7831,7847
.Christian County,54303,54936,56824.0,58674.0,60672.0,63171.0,65963.0,69394.0,72545.0,74705.0,76309.0,77422,77825
.Clark County,7416,7387,7433.0,7366.0,7281.0,7239.0,7224.0,7206.0,7212.0,7168.0,7111.0,7139,7148
.Clay County,183941,184703,188024.0,190959.0,193436.0,196718.0,200659.0,206369.0,211179.0,215142.0,219669.0,221939,222718
.Clinton County,19002,19046,19371.0,19525.0,20034.0,20409.0,20392.0,20347.0,20774.0,20781.0,20765.0,20743,20742
.Cole County,71423,71485,71650.0,72138.0,72728.0,72427.0,72948.0,73509.0,73977.0,74760.0,75408.0,75990,76182
.Cooper County,16668,16764,16714.0,16999.0,17002.0,17203.0,17380.0,17547.0,17693.0,17502.0,17564.0,17601,17610
.Crawford County,22785,22828,22876.0,23420.0,23734.0,23918.0,24137.0,24373.0,24689.0,24698.0,24802.0,24696,24637
.Dade County,7920,7915,7920.0,7899.0,7896.0,7893.0,7910.0,7974.0,7969.0,7951.0,7885.0,7883,7867
.Dallas County,15725,15751,15802.0,15908.0,16031.0,16275.0,16325.0,16580.0,16953.0,16955.0,16816.0,16777,16762
.Daviess County,8012,7998,7972.0,8040.0,8125.0,8228.0,8231.0,8331.0,8309.0,8330.0,8382.0,8433,8441
.DeKalb County,13090,13137,13111.0,13180.0,13284.0,12734.0,12727.0,12882.0,12921.0,12833.0,12825.0,12892,12900
.Dent County,14926,14947,15088.0,14935.0,15050.0,15157.0,15257.0,15419.0,15344.0,15495.0,15544.0,15657,15681
.Douglas County,13082,13097,13070.0,13270.0,13239.0,13372.0,13474.0,13573.0,13637.0,13800.0,13793.0,13684,13642
.Dunklin County,33184,33148,33006.0,32871.0,32723.0,32420.0,32581.0,32388.0,32255.0,32158.0,31977.0,31953,31920
.Franklin County,93820,94050,94872.0,95771.0,96480.0,97465.0,98417.0,99341.0,100265.0,101149.0,101422.0,101492,101508
.Gasconade County,15350,15374,15395.0,15407.0,15460.0,15464.0,15516.0,15479.0,15450.0,15309.0,15204.0,15222,15226
.Gentry County,6867,6873,6875.0,6780.0,6725.0,6771.0,6780.0,6776.0,6758.0,6806.0,6740.0,6738,6719
.Greene County,240460,241015,243305.0,245822.0,249312.0,253130.0,257282.0,263046.0,267576.0,270901.0,274013.0,275174,275414
.Grundy County,10420,10513,10427.0,10253.0,10304.0,10209.0,10280.0,10187.0,10199.0,10196.0,10215.0,10261,10273
.Harrison County,8856,8873,8779.0,8771.0,8791.0,8753.0,8893.0,8870.0,8951.0,8956.0,8987.0,8957,8941
.Henry County,22005,22108,22307.0,22179.0,22410.0,22442.0,22354.0,22556.0,22474.0,22291.0,22277.0,22272,22266
.Hickory County,8922,8940,9036.0,8929.0,9171.0,9316.0,9476.0,9518.0,9594.0,9592.0,9561.0,9627,9628
.Holt County,5354,5326,5310.0,5148.0,5154.0,5116.0,5047.0,4976.0,4997.0,4926.0,4911.0,4912,4910
.Howard County,10208,10182,10155.0,10072.0,10056.0,10012.0,10091.0,10089.0,10079.0,10138.0,10172.0,10144,10123
.Howell County,37273,37285,37259.0,37429.0,37717.0,38036.0,38704.0,39067.0,39391.0,39910.0,39917.0,40400,40532
.Iron County,10676,10628,10616.0,10608.0,10508.0,10617.0,10630.0,10710.0,10681.0,10667.0,10715.0,10630,10579
.Jackson County,654941,655709,657012.0,658765.0,658914.0,658307.0,658592.0,660539.0,662995.0,665427.0,670763.0,674158,675259
.Jasper County,104704,104966,105628.0,106684.0,107690.0,108897.0,110219.0,112030.0,113754.0,115144.0,116448.0,117404,117770
.Jefferson County,198362,198937,200682.0,202477.0,204912.0,207829.0,210142.0,213105.0,214948.0,216409.0,217764.0,218733,219084
.Johnson County,48270,48534,49355.0,49796.0,50027.0,50905.0,51178.0,51500.0,51750.0,51889.0,52351.0,52595,52715
.Knox County,4360,4356,4296.0,4282.0,4254.0,4236.0,4188.0,4158.0,4152.0,4117.0,4111.0,4131,4133
.Laclede County,32532,32598,32889.0,32862.0,33155.0,33513.0,34236.0,34937.0,35333.0,35518.0,35355.0,35571,35642
.Lafayette County,32939,33000,32927.0,32984.0,33081.0,33110.0,33280.0,33288.0,33186.0,33434.0,33246.0,33381,33409
.Lawrence County,35216,35352,35665.0,36234.0,36441.0,36798.0,37399.0,37779.0,38323.0,38508.0,38652.0,38634,38601
.Lewis County,10487,10500,10420.0,10408.0,10354.0,10319.0,10272.0,10286.0,10286.0,10196.0,10204.0,10211,10203
.Lincoln County,38916,39196,40610.0,41970.0,43580.0,44995.0,46945.0,49117.0,50758.0,51847.0,52243.0,52566,52702
.Linn County,13754,13722,13617.0,13495.0,13365.0,13256.0,13074.0,12928.0,12875.0,12788.0,12775.0,12761,12752
.Livingston County,14562,14519,14596.0,14556.0,14589.0,14604.0,14624.0,14717.0,14852.0,14929.0,15110.0,15195,15196
.McDonald County,21684,21665,21688.0,21712.0,22105.0,22410.0,22718.0,22977.0,22996.0,22943.0,23076.0,23083,23087
.Macon County,15760,15734,15613.0,15441.0,15568.0,15497.0,15595.0,15562.0,15533.0,15512.0,15509.0,15566,15581
.Madison County,11851,11853,11855.0,11877.0,11835.0,11937.0,12007.0,12130.0,12310.0,12396.0,12313.0,12226,12196
.Maries County,8924,8918,8822.0,8824.0,8850.0,9077.0,9170.0,9235.0,9281.0,9191.0,9122.0,9176,9185
.Marion County,28267,28285,28115.0,28067.0,28282.0,28193.0,28309.0,28468.0,28365.0,28550.0,28720.0,28781,28793
