table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Alaska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Alaska,626933,627963,633714.0,642337.0,648414.0,659286.0,666946.0,675302.0,680300.0,687455.0,698895.0,710231,713985
.Aleutians East Borough,2697,2693,2590.0,2734.0,2732.0,2727.0,2787.0,2794.0,3012.0,2991.0,3084.0,3141,3155
.Aleutians West Census Area,5464,5470,5501.0,5472.0,5709.0,5798.0,5913.0,5658.0,5466.0,5393.0,5537.0,5561,5558
.Anchorage Municipality,260299,260816,264274.0,268229.0,270568.0,274484.0,276494.0,280085.0,278792.0,281554.0,287677.0,291826,293227
.Bethel Census Area,16046,16080,16171.0,16414.0,16517.0,16603.0,16728.0,16755.0,16723.0,16762.0,16860.0,17013,17090
.Bristol Bay Borough,1258,1232,1196.0,1166.0,1140.0,1144.0,1171.0,1111.0,1076.0,1040.0,976.0,997,1001
.Denali Borough,1893,1890,1850.0,1862.0,1825.0,1877.0,1834.0,1837.0,1803.0,1803.0,1817.0,1826,1835
.Dillingham Census Area,4922,4916,4840.0,4900.0,4828.0,4850.0,4841.0,4833.0,4832.0,4769.0,4776.0,4847,4877
.Fairbanks North Star Borough,82849,83005,84814.0,86095.0,86885.0,89043.0,90431.0,90545.0,93545.0,94552.0,95238.0,97581,98314
.Haines Borough,2392,2399,2334.0,2325.0,2337.0,2281.0,2280.0,2300.0,2379.0,2404.0,2486.0,2508,2512
.Hoonah-Angoon Census Area,2574,2562,2538.0,2479.0,2378.0,2331.0,2316.0,2271.0,2242.0,2225.0,2144.0,2150,2151
.Juneau City and Borough,30704,30668,30502.0,30712.0,30993.0,31103.0,31003.0,30808.0,30682.0,31110.0,30857.0,31275,31416
.Kenai Peninsula Borough,49673,49618,49986.0,50804.0,50963.0,51404.0,51590.0,52253.0,53272.0,53655.0,54796.0,55400,55610
.Ketchikan Gateway Borough,14074,14000,13796.0,13599.0,13335.0,13244.0,13305.0,13492.0,13341.0,13326.0,13294.0,13477,13529
.Kodiak Island Borough,13916,13983,13748.0,13651.0,13239.0,13206.0,13105.0,13184.0,13159.0,13262.0,13505.0,13592,13633
.Lake and Peninsula Borough,1823,1814,1715.0,1621.0,1626.0,1644.0,1639.0,1624.0,1629.0,1606.0,1612.0,1631,1633
.Matanuska-Susitna Borough,59318,59802,61807.0,64353.0,67162.0,70761.0,74409.0,78633.0,81402.0,84079.0,86885.0,88995,89737
.Nome Census Area,9196,9152,9167.0,9161.0,9210.0,9351.0,9338.0,9235.0,9246.0,9231.0,9313.0,9492,9552
.North Slope Borough,7385,7420,7530.0,7728.0,7968.0,8046.0,8190.0,8315.0,8519.0,8841.0,9105.0,9430,9480
.Northwest Arctic Borough,7208,7226,7251.0,7252.0,7310.0,7397.0,7416.0,7467.0,7440.0,7466.0,7467.0,7523,7543
.Petersburg Census Area,4256,4249,4198.0,4112.0,4022.0,4059.0,3959.0,3886.0,3898.0,3817.0,3775.0,3815,3828
.Prince of Wales-Hyder Census Area,6124,6098,5887.0,5675.0,5650.0,5614.0,5534.0,5574.0,5457.0,5448.0,5465.0,5559,5592
.Sitka City and Borough,8835,8845,8727.0,8874.0,8881.0,8890.0,8994.0,9046.0,8851.0,8835.0,8844.0,8881,8892
.Skagway Municipality,860,868,868.0,865.0,895.0,934.0,949.0,946.0,955.0,967.0,975.0,968,965
.Southeast Fairbanks Census Area,6174,6177,5705.0,5672.0,5772.0,6022.0,6530.0,6817.0,6945.0,6904.0,6955.0,7029,7054
.Valdez-Cordova Census Area,10195,10210,10114.0,10061.0,9996.0,9990.0,9914.0,9828.0,9572.0,9458.0,9492.0,9636,9680
.Wade Hampton Census Area,7028,7033,7051.0,7103.0,7201.0,7330.0,7313.0,7292.0,7372.0,7392.0,7469.0,7459,7464
.Wrangell City and Borough,2452,2452,2426.0,2382.0,2347.0,2288.0,2298.0,2309.0,2322.0,2353.0,2331.0,2369,2375
.Yakutat City and Borough,808,796,764.0,702.0,673.0,647.0,665.0,642.0,656.0,627.0,665.0,662,660
.Yukon-Koyukuk Census Area,6510,6489,6364.0,6334.0,6252.0,6218.0,6000.0,5762.0,5712.0,5585.0,5495.0,5588,5622
