table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Florida: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Florida,15982571,16047515,16356966.0,16689370.0,17004085.0,17415318.0,17842038.0,18166990.0,18367842.0,18527305.0,18652644.0,18801310,18843326
.Alachua County,217964,218611,221718.0,224614.0,227022.0,229867.0,233756.0,239506.0,242685.0,244888.0,246657.0,247336,247497
.Baker County,22255,22374,22620.0,23298.0,23555.0,24142.0,24832.0,25571.0,26212.0,26725.0,27124.0,27115,27106
.Bay County,148270,148393,150207.0,152741.0,155044.0,158804.0,162917.0,165644.0,165345.0,166267.0,167464.0,168852,169272
.Bradford County,26096,26064,26083.0,26306.0,27035.0,27703.0,28098.0,28506.0,28825.0,28961.0,28979.0,28520,28480
.Brevard County,476299,477819,486429.0,495425.0,504847.0,518722.0,529907.0,535138.0,539719.0,542378.0,542109.0,543376,543573
.Broward County,1622974,1630600,1662848.0,1690118.0,1707543.0,1725461.0,1746896.0,1739348.0,1720825.0,1723633.0,1733310.0,1748066,1753578
.Calhoun County,13002,13040,12847.0,12947.0,13293.0,13445.0,13850.0,13997.0,14222.0,14351.0,14692.0,14625,14599
.Charlotte County,141620,142266,146311.0,150123.0,153235.0,157755.0,155262.0,157099.0,159742.0,160467.0,159629.0,159978,159990
.Citrus County,118106,118649,121197.0,123491.0,126215.0,129840.0,133791.0,137826.0,140974.0,142122.0,141381.0,141236,141129
.Clay County,140788,141629,145685.0,150947.0,155620.0,163238.0,169418.0,178339.0,184256.0,187289.0,189101.0,190865,191395
.Collier County,251412,254015,264240.0,275490.0,285321.0,296021.0,307452.0,312621.0,314437.0,316641.0,318485.0,321520,322472
.Columbia County,56413,56571,57040.0,57930.0,59395.0,60804.0,63109.0,65890.0,66604.0,67318.0,67412.0,67531,67597
.DeSoto County,32204,32196,32402.0,32446.0,33271.0,33895.0,33864.0,34300.0,34537.0,34374.0,34592.0,34862,34984
.Dixie County,13758,13758,14033.0,14234.0,14364.0,14825.0,15427.0,15892.0,16083.0,16214.0,16403.0,16422,16390
.Duval County,778896,779800,790681.0,800532.0,809633.0,820070.0,828988.0,842098.0,851033.0,855437.0,859795.0,864263,865876
.Escambia County,294415,294725,297776.0,297568.0,296603.0,298225.0,298339.0,300395.0,297393.0,296854.0,297015.0,297619,298043
.Flagler County,49818,50579,53944.0,57905.0,62947.0,69387.0,77008.0,84339.0,90516.0,93546.0,94700.0,95696,95928
.Franklin County,9827,9839,9910.0,9972.0,10025.0,10090.0,10198.0,11308.0,11491.0,11484.0,11515.0,11549,11554
.Gadsden County,45017,44950,45153.0,44762.0,44952.0,45129.0,45258.0,45258.0,45867.0,46319.0,46264.0,46389,46449
.Gilchrist County,14429,14443,14283.0,14502.0,15011.0,15271.0,15801.0,16223.0,16610.0,16797.0,16829.0,16939,16956
.Glades County,10531,10579,10948.0,11284.0,11514.0,11901.0,12284.0,12297.0,12357.0,12752.0,12839.0,12884,12842
.Gulf County,14548,14566,14868.0,14897.0,15266.0,15455.0,15781.0,15856.0,15908.0,15851.0,15933.0,15863,15847
.Hamilton County,13321,13330,13733.0,13795.0,14010.0,14101.0,14017.0,14430.0,14589.0,14785.0,14930.0,14799,14747
.Hardee County,26854,26769,26378.0,26787.0,26765.0,26847.0,26874.0,27049.0,27489.0,27603.0,27661.0,27731,27801
.Hendry County,36184,36255,36029.0,36035.0,36138.0,36903.0,38201.0,38776.0,39006.0,39177.0,39010.0,39140,39180
.Hernando County,130795,131390,134127.0,137818.0,142686.0,149593.0,157156.0,164398.0,169891.0,172437.0,171950.0,172778,173008
.Highlands County,87391,87417,88510.0,89939.0,90943.0,93079.0,95614.0,97788.0,99023.0,99568.0,98956.0,98786,98700
.Hillsborough County,998994,1003435,1028385.0,1054860.0,1077462.0,1108225.0,1143154.0,1171826.0,1184686.0,1196773.0,1214050.0,1229226,1233846
.Holmes County,18564,18553,18757.0,18880.0,19254.0,19319.0,19523.0,19824.0,19991.0,20141.0,20147.0,19927,19855
.Indian River County,112877,113323,115456.0,118144.0,120450.0,125001.0,127955.0,131463.0,134564.0,136277.0,137016.0,138028,138268
.Jackson County,46781,46701,46242.0,46139.0,46274.0,46946.0,47930.0,48265.0,48368.0,50272.0,50064.0,49746,49701
.Jefferson County,12876,12891,12871.0,13316.0,13602.0,14030.0,14210.0,14461.0,14383.0,14606.0,14704.0,14761,14763
.Lafayette County,7019,7011,7153.0,7287.0,7356.0,7630.0,8131.0,8341.0,8398.0,8465.0,8435.0,8870,8891
.Lake County,210418,212347,222297.0,231519.0,241489.0,254625.0,267587.0,281329.0,289909.0,293654.0,295511.0,297052,297950
.Lee County,440910,444311,461037.0,478889.0,497662.0,522431.0,555029.0,582678.0,604716.0,610984.0,612297.0,618754,620151
.Leon County,239509,240571,242583.0,245404.0,250673.0,254188.0,258083.0,263076.0,268519.0,271130.0,273263.0,275487,276058
.Levy County,34448,34644,35118.0,35964.0,36530.0,37510.0,38355.0,39447.0,40204.0,40809.0,40880.0,40801,40735
.Liberty County,7011,6989,7049.0,7231.0,7325.0,7449.0,7820.0,8011.0,8113.0,8323.0,8347.0,8365,8355
.Madison County,18720,18734,18859.0,18707.0,18778.0,19075.0,19070.0,19299.0,19322.0,19347.0,19329.0,19224,19205
.Manatee County,263996,265644,272281.0,279950.0,287000.0,296183.0,306845.0,313771.0,316410.0,318766.0,320711.0,322833,323435
.Marion County,258873,260221,264553.0,271716.0,280091.0,291164.0,303558.0,316310.0,325634.0,330052.0,330880.0,331298,331290
.Martin County,126777,127301,129856.0,132945.0,136598.0,139729.0,141912.0,141802.0,143542.0,144369.0,145506.0,146318,146393
.Miami-Dade County,2253793,2259508,2287458.0,2315747.0,2336070.0,2358684.0,2385872.0,2405911.0,2415576.0,2436062.0,2463943.0,2496435,2505379
.Monroe County,79602,79470,79038.0,78755.0,78497.0,77616.0,75819.0,73793.0,72906.0,72730.0,72627.0,73090,73269
.Nassau County,57645,57957,59300.0,60816.0,62069.0,63699.0,65568.0,67823.0,69969.0,71557.0,72671.0,73314,73473
.Okaloosa County,170520,171200,172564.0,176257.0,177649.0,182506.0,184045.0,184071.0,182677.0,181752.0,181153.0,180822,180728
.Okeechobee County,35869,35917,36298.0,36776.0,37224.0,38556.0,39247.0,39668.0,39840.0,39968.0,39899.0,39996,40041
.Orange County,896123,903019,931775.0,955136.0,979227.0,1011681.0,1053341.0,1083429.0,1100663.0,1115525.0,1131351.0,1145956,1149500
.Osceola County,172520,174146,181694.0,190844.0,202687.0,216541.0,228026.0,242081.0,253722.0,261746.0,265267.0,268685,269837
.Palm Beach County,1131189,1135787,1160474.0,1191340.0,1218100.0,1252223.0,1278380.0,1284489.0,1286586.0,1294938.0,1307371.0,1320134,1323394
.Pasco County,344749,347038,357653.0,369665.0,383238.0,401648.0,421844.0,439529.0,453579.0,461313.0,462607.0,464697,465543
.Pinellas County,921500,922150,923850.0,925102.0,926266.0,928305.0,929426.0,924182.0,918624.0,916458.0,915330.0,916542,916719
.Polk County,483888,485515,492917.0,501469.0,513058.0,527685.0,547373.0,568324.0,585982.0,594801.0,598683.0,602095,602788
.Putnam County,70418,70433,70585.0,71386.0,71853.0,72831.0,73792.0,74663.0,75107.0,74999.0,74546.0,74364,74262
.St. Johns County,123237,124522,129805.0,135770.0,142165.0,151717.0,160266.0,168480.0,175318.0,181720.0,186281.0,190039,191323
.St. Lucie County,192679,193518,198459.0,205796.0,214924.0,228548.0,241965.0,255251.0,266860.0,273151.0,274344.0,277789,278689
.Santa Rosa County,117752,118360,121261.0,127438.0,131463.0,137241.0,141132.0,142983.0,146158.0,148538.0,149544.0,151372,151966
.Sarasota County,326002,327165,333707.0,340590.0,347862.0,357751.0,367912.0,371361.0,375325.0,377178.0,377262.0,379448,379874
.Seminole County,365448,367378,374593.0,382846.0,388141.0,395230.0,406840.0,413218.0,413571.0,416564.0,419788.0,422718,423508
.Sumter County,53337,53738,55793.0,59539.0,61934.0,64456.0,69261.0,76202.0,82101.0,86433.0,90643.0,93420,94074
.Suwannee County,34881,35071,35679.0,36186.0,36812.0,37597.0,38687.0,39533.0,40309.0,40774.0,41263.0,41551,41495
