table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Virginia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Virginia,7079057,7105817,7198362.0,7286873.0,7366977.0,7475575.0,7577105.0,7673725.0,7751000.0,7833496.0,7925937.0,8001024,8024617
.Accomack County,38301,38215,37742.0,37308.0,36742.0,36310.0,35835.0,35192.0,34553.0,33970.0,33415.0,33164,33202
.Albemarle County,83024,83532,85002.0,86150.0,87620.0,89491.0,91676.0,93852.0,95009.0,97081.0,98071.0,98970,99150
.Alleghany County,17235,17213,17082.0,16953.0,16687.0,16645.0,16580.0,16564.0,16530.0,16404.0,16306.0,16250,16228
.Amelia County,11378,11446,11481.0,11540.0,11544.0,11712.0,11943.0,12250.0,12447.0,12563.0,12594.0,12690,12729
.Amherst County,31888,31854,31953.0,31775.0,31810.0,31783.0,31955.0,32094.0,32203.0,32510.0,32447.0,32353,32319
.Appomattox County,13703,13692,13809.0,13733.0,13765.0,13916.0,13981.0,14215.0,14425.0,14795.0,14812.0,14973,15019
.Arlington County,189211,189198,190386.0,190137.0,188735.0,187901.0,187760.0,188176.0,190759.0,196305.0,202637.0,207627,209457
.Augusta County,65385,65572,66124.0,66735.0,67660.0,68899.0,69949.0,71896.0,73041.0,73555.0,73844.0,73750,73668
.Bath County,5040,5020,4997.0,5012.0,4974.0,4934.0,4891.0,4823.0,4835.0,4778.0,4743.0,4731,4714
.Bedford County,60226,60472,60985.0,61580.0,62441.0,63563.0,64825.0,66363.0,67392.0,67594.0,68399.0,68676,68735
.Bland County,6869,6833,6876.0,6836.0,6913.0,6913.0,6873.0,6840.0,6930.0,6921.0,6868.0,6824,6808
.Botetourt County,30554,30648,30748.0,31155.0,31454.0,31715.0,31803.0,32491.0,32681.0,32955.0,33042.0,33148,33165
.Brunswick County,18395,18387,18331.0,18236.0,18072.0,17981.0,17981.0,18011.0,17823.0,17791.0,17507.0,17434,17404
.Buchanan County,26968,26838,26501.0,26299.0,25941.0,25647.0,25315.0,25009.0,24670.0,24371.0,24234.0,24098,24012
.Buckingham County,15614,15634,15857.0,15908.0,16057.0,16168.0,16401.0,16547.0,16737.0,16819.0,17148.0,17146,17120
.Campbell County,50997,51082,51349.0,51685.0,51885.0,52093.0,52795.0,53475.0,53769.0,54232.0,54472.0,54842,54921
.Caroline County,22122,22136,22168.0,22566.0,23135.0,23920.0,25475.0,26722.0,27592.0,28011.0,28263.0,28545,28631
.Carroll County,29205,29264,29448.0,29415.0,29472.0,29670.0,29660.0,29894.0,29933.0,30067.0,30002.0,30042,30027
.Charles City County,6932,6930,6952.0,7030.0,7091.0,7050.0,7060.0,7156.0,7148.0,7232.0,7216.0,7256,7271
.Charlotte County,12471,12476,12481.0,12590.0,12465.0,12524.0,12631.0,12731.0,12680.0,12654.0,12588.0,12586,12568
.Chesterfield County,259879,261047,265544.0,270741.0,276300.0,283030.0,289998.0,298496.0,304636.0,309837.0,313096.0,316236,317102
.Clarke County,12638,12672,12862.0,12950.0,13110.0,13413.0,13710.0,13939.0,13969.0,14092.0,14015.0,14034,14052
.Craig County,5076,5073,5056.0,5065.0,5097.0,5142.0,5139.0,5158.0,5212.0,5167.0,5120.0,5190,5208
.Culpeper County,34260,34442,35299.0,36612.0,38121.0,39670.0,41894.0,44076.0,45527.0,46056.0,46236.0,46689,46850
.Cumberland County,9002,8987,9002.0,9093.0,9216.0,9223.0,9465.0,9596.0,9762.0,9849.0,10013.0,10052,10056
.Dickenson County,16380,16322,16237.0,16074.0,16018.0,16003.0,16111.0,15958.0,15971.0,16078.0,15925.0,15903,15897
.Dinwiddie County,24540,24674,24666.0,25038.0,25415.0,25770.0,26149.0,26590.0,27078.0,27694.0,27888.0,28001,27995
.Essex County,9991,9984,9994.0,10074.0,10201.0,10238.0,10445.0,10576.0,10739.0,10920.0,11104.0,11151,11167
.Fairfax County,969987,975476,991564.0,998613.0,1003070.0,1010938.0,1019490.0,1018981.0,1027727.0,1044178.0,1065142.0,1081726,1086743
.Fauquier County,55145,55470,56878.0,58522.0,59863.0,61319.0,62686.0,63761.0,64122.0,64558.0,64907.0,65203,65383
.Floyd County,13840,13909,14086.0,14172.0,14261.0,14371.0,14588.0,14762.0,14823.0,15101.0,15150.0,15279,15316
.Fluvanna County,20012,20191,21027.0,21921.0,22835.0,23451.0,24318.0,24638.0,25134.0,25461.0,25576.0,25691,25733
.Franklin County,47311,47546,48384.0,49167.0,50012.0,51001.0,51976.0,53037.0,54447.0,55284.0,55732.0,56159,56191
.Frederick County,59226,59639,61360.0,63313.0,65379.0,67442.0,69921.0,72456.0,74670.0,76060.0,77477.0,78305,78511
.Giles County,16682,16738,16799.0,16800.0,16821.0,16786.0,16963.0,17161.0,17138.0,17168.0,17264.0,17286,17296
.Gloucester County,34772,34793,34852.0,35103.0,35454.0,35714.0,36011.0,36220.0,36466.0,36638.0,36778.0,36858,36950
.Goochland County,16866,16935,17250.0,17610.0,18062.0,18570.0,19349.0,20176.0,20869.0,21285.0,21604.0,21717,21745
.Grayson County,16803,16782,16548.0,16558.0,16414.0,16301.0,16153.0,16096.0,16066.0,15938.0,15696.0,15533,15478
.Greene County,15231,15454,15793.0,16308.0,16677.0,16895.0,17155.0,17607.0,17972.0,18131.0,18237.0,18403,18461
.Greensville County,11585,11566,11605.0,11639.0,11876.0,11428.0,12063.0,12048.0,12147.0,12206.0,12272.0,12243,12234
.Halifax County,37350,37299,37003.0,36919.0,36645.0,36382.0,36340.0,36383.0,36338.0,36347.0,36293.0,36241,36192
.Hanover County,86331,86972,88845.0,91370.0,93466.0,95295.0,96451.0,98025.0,98830.0,99404.0,99651.0,99863,99948
.Henrico County,263195,264385,267722.0,270608.0,274555.0,280290.0,286441.0,291460.0,296408.0,300198.0,304763.0,306935,307435
.Henry County,57944,57903,57393.0,56986.0,56506.0,56183.0,55651.0,55464.0,55284.0,55073.0,54402.0,54151,54079
.Highland County,2531,2529,2530.0,2450.0,2490.0,2442.0,2463.0,2479.0,2424.0,2403.0,2363.0,2321,2306
.Isle of Wight County,29724,29849,30119.0,30497.0,31224.0,31899.0,32566.0,33716.0,34581.0,34955.0,35270.0,35270,35288
