table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Louisiana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Louisiana,4469035,4471885,4477875.0,4497267.0,4521042.0,4552238.0,4576628.0,4302665.0,4375581.0,4435586.0,4491648.0,4533372,4544228
.Acadia Parish,58833,58795,58844.0,59065.0,59194.0,59223.0,59524.0,60522.0,60762.0,61115.0,61451.0,61773,61844
.Allen Parish,25441,25401,25399.0,25194.0,25327.0,25338.0,25076.0,25692.0,25937.0,25854.0,25863.0,25764,25732
.Ascension Parish,76639,77335,79210.0,81379.0,83967.0,86352.0,89741.0,96421.0,100132.0,102891.0,105172.0,107215,107891
.Assumption Parish,23343,23324,23194.0,23210.0,23262.0,23319.0,23199.0,23477.0,23543.0,23534.0,23508.0,23421,23374
.Avoyelles Parish,41501,41459,41274.0,41233.0,41446.0,41271.0,41036.0,42080.0,41809.0,42040.0,42034.0,42073,42103
.Beauregard Parish,32948,32979,33001.0,33000.0,33221.0,33614.0,34130.0,34510.0,34623.0,34893.0,35142.0,35654,35831
.Bienville Parish,15753,15717,15400.0,15279.0,15077.0,15017.0,14852.0,14773.0,14699.0,14494.0,14435.0,14353,14330
.Bossier Parish,99355,99658,100986.0,102227.0,103088.0,105435.0,107477.0,110606.0,112048.0,113824.0,115187.0,116979,117522
.Caddo Parish,251129,250990,249815.0,248753.0,248346.0,249157.0,249593.0,252740.0,251760.0,251953.0,253245.0,254969,255543
.Calcasieu Parish,183606,183554,183296.0,183487.0,184701.0,185593.0,186417.0,185350.0,187081.0,188928.0,191080.0,192768,193230
.Caldwell Parish,10554,10559,10429.0,10429.0,10352.0,10382.0,10247.0,10224.0,10189.0,10224.0,10185.0,10132,10119
