table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Nebraska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Nebraska,1711230,1713820,1719836.0,1728292.0,1738643.0,1749370.0,1761497.0,1772693.0,1783440.0,1796378.0,1812683.0,1826341,1830429
.Adams County,31150,31154,31021.0,30716.0,30693.0,30740.0,30987.0,30910.0,30892.0,31160.0,31280.0,31364,31388
.Antelope County,7447,7435,7242.0,7229.0,7172.0,7063.0,6994.0,6836.0,6767.0,6704.0,6739.0,6685,6664
.Arthur County,444,445,423.0,421.0,439.0,433.0,428.0,450.0,457.0,453.0,442.0,460,463
.Banner County,815,819,808.0,769.0,763.0,749.0,731.0,733.0,715.0,677.0,686.0,690,690
.Blaine County,583,583,564.0,551.0,545.0,515.0,492.0,493.0,463.0,456.0,477.0,478,478
.Boone County,6259,6214,6146.0,6053.0,5888.0,5813.0,5746.0,5623.0,5582.0,5548.0,5514.0,5505,5500
.Box Butte County,12159,12235,11985.0,11951.0,11719.0,11528.0,11422.0,11338.0,11409.0,11482.0,11347.0,11308,11285
.Boyd County,2443,2431,2390.0,2352.0,2304.0,2246.0,2219.0,2143.0,2109.0,2102.0,2075.0,2099,2107
.Brown County,3525,3534,3510.0,3497.0,3478.0,3441.0,3329.0,3319.0,3225.0,3149.0,3115.0,3145,3154
.Buffalo County,42232,42310,42418.0,42949.0,43251.0,43753.0,44131.0,44645.0,45060.0,45343.0,45970.0,46102,46165
.Burt County,7791,7786,7659.0,7486.0,7366.0,7399.0,7225.0,7122.0,6999.0,6967.0,6885.0,6858,6847
.Butler County,8857,8826,8878.0,8817.0,8716.0,8631.0,8479.0,8396.0,8375.0,8355.0,8387.0,8395,8398
.Cass County,24319,24365,24460.0,24602.0,24868.0,25074.0,25170.0,25240.0,25256.0,25322.0,25122.0,25241,25291
.Cedar County,9626,9604,9470.0,9391.0,9291.0,9246.0,9240.0,9060.0,8941.0,8839.0,8854.0,8852,8837
.Chase County,4068,4053,4003.0,4045.0,4090.0,4018.0,3983.0,3965.0,3913.0,3865.0,3921.0,3966,3971
.Cherry County,6149,6152,6060.0,6054.0,6031.0,6064.0,6039.0,5927.0,5834.0,5752.0,5683.0,5713,5717
.Cheyenne County,9833,9832,9943.0,9973.0,9935.0,9970.0,10125.0,9943.0,10139.0,10150.0,10032.0,9998,9979
.Clay County,7036,7029,6944.0,6899.0,6859.0,6795.0,6669.0,6609.0,6564.0,6543.0,6512.0,6542,6543
.Colfax County,10434,10452,10440.0,10478.0,10433.0,10457.0,10238.0,9993.0,9993.0,10083.0,10380.0,10515,10558
.Cuming County,10203,10169,10054.0,9962.0,9832.0,9709.0,9642.0,9440.0,9286.0,9215.0,9132.0,9139,9140
.Custer County,11794,11784,11593.0,11508.0,11388.0,11328.0,11248.0,11090.0,11005.0,11001.0,10999.0,10939,10912
.Dakota County,20265,20296,20331.0,20374.0,20488.0,20410.0,20191.0,20295.0,20564.0,20559.0,20924.0,21006,21028
.Dawes County,9060,9054,9162.0,9227.0,9306.0,9127.0,9087.0,9040.0,9181.0,9134.0,9218.0,9182,9170
.Dawson County,24370,24410,24359.0,24149.0,24175.0,24112.0,24085.0,24291.0,24178.0,24160.0,24212.0,24326,24383
.Deuel County,2089,2086,2085.0,2029.0,2027.0,2025.0,1999.0,1969.0,1982.0,1986.0,1941.0,1941,1936
.Dixon County,6277,6246,6156.0,6064.0,5984.0,5908.0,5961.0,5987.0,5993.0,6004.0,6013.0,6000,6003
.Dodge County,36150,36231,36143.0,36060.0,36184.0,36267.0,36442.0,36597.0,36647.0,36548.0,36604.0,36691,36707
.Douglas County,463567,464701,468125.0,471866.0,476701.0,482075.0,488114.0,493757.0,498743.0,504547.0,511902.0,517110,518777
.Dundy County,2292,2268,2179.0,2159.0,2170.0,2154.0,2091.0,2051.0,2010.0,1973.0,1997.0,2008,2008
.Fillmore County,6634,6607,6493.0,6376.0,6371.0,6281.0,6126.0,6053.0,5985.0,5940.0,5898.0,5890,5889
.Franklin County,3569,3544,3467.0,3484.0,3440.0,3411.0,3425.0,3352.0,3207.0,3167.0,3186.0,3225,3235
.Frontier County,3089,3085,3069.0,3037.0,2981.0,2990.0,2944.0,2879.0,2860.0,2786.0,2772.0,2756,2743
.Furnas County,5324,5299,5232.0,5261.0,5207.0,5112.0,5051.0,5016.0,4929.0,4873.0,4934.0,4959,4958
.Gage County,22992,22955,23039.0,23031.0,23056.0,23052.0,22866.0,22875.0,22843.0,22574.0,22364.0,22311,22301
.Garden County,2294,2289,2306.0,2284.0,2304.0,2245.0,2111.0,2120.0,2046.0,2004.0,2010.0,2057,2065
.Garfield County,1902,1899,1913.0,1945.0,1936.0,1955.0,1969.0,1984.0,1977.0,2001.0,2029.0,2049,2047
.Gosper County,2143,2146,2096.0,2100.0,2136.0,2112.0,2110.0,2075.0,2101.0,2049.0,2020.0,2044,2047
.Grant County,735,736,743.0,726.0,697.0,680.0,676.0,677.0,660.0,653.0,619.0,614,610
.Greeley County,2714,2712,2700.0,2696.0,2662.0,2643.0,2577.0,2578.0,2538.0,2548.0,2502.0,2538,2544
