table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Utah: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Utah,2233183,2244502,2283715.0,2324815.0,2360137.0,2401580.0,2457719.0,2525507.0,2597746.0,2663029.0,2723421.0,2763885,2776469
.Beaver County,5997,5998,5999.0,6058.0,6039.0,6077.0,6192.0,6281.0,6266.0,6413.0,6552.0,6629,6643
.Box Elder County,42755,42882,43362.0,44038.0,44548.0,44666.0,45090.0,45948.0,47193.0,48437.0,49372.0,49975,50155
.Cache County,91389,91861,92831.0,95493.0,97101.0,98854.0,100501.0,101236.0,103624.0,106824.0,110291.0,112656,113417
.Carbon County,20531,20491,19937.0,20114.0,20146.0,20026.0,19870.0,20072.0,20554.0,20596.0,21143.0,21403,21462
.Daggett County,918,926,929.0,907.0,914.0,952.0,967.0,984.0,974.0,993.0,1037.0,1059,1063
.Davis County,238997,240422,244687.0,249676.0,255582.0,262189.0,269208.0,278800.0,288236.0,295801.0,301965.0,306479,307856
.Duchesne County,14432,14449,14652.0,14969.0,15002.0,15101.0,15473.0,15823.0,16651.0,17412.0,18536.0,18607,18616
.Emery County,10859,10850,10614.0,10548.0,10545.0,10460.0,10471.0,10445.0,10566.0,10740.0,10896.0,10976,10991
.Garfield County,4733,4747,4705.0,4650.0,4605.0,4552.0,4582.0,4670.0,4850.0,5010.0,5068.0,5172,5194
.Grand County,8407,8420,8436.0,8556.0,8556.0,8528.0,8657.0,8787.0,8838.0,8981.0,9034.0,9225,9296
.Iron County,33793,34002,34771.0,35728.0,36202.0,37223.0,39555.0,42000.0,43645.0,44547.0,45693.0,46163,46310
.Juab County,8236,8268,8388.0,8482.0,8622.0,8803.0,8926.0,9175.0,9607.0,10024.0,10209.0,10246,10258
.Kane County,6056,6094,6000.0,6081.0,6133.0,6200.0,6369.0,6678.0,6778.0,6853.0,7001.0,7125,7156
.Millard County,12405,12385,12294.0,12223.0,12168.0,12017.0,11935.0,11946.0,11954.0,12146.0,12343.0,12503,12554
.Morgan County,7132,7165,7337.0,7488.0,7572.0,7725.0,7977.0,8342.0,8771.0,9126.0,9318.0,9469,9509
.Piute County,1437,1436,1414.0,1417.0,1409.0,1430.0,1430.0,1429.0,1419.0,1511.0,1528.0,1556,1561
.Rich County,1961,1965,1932.0,1947.0,2039.0,2051.0,2055.0,2035.0,2124.0,2227.0,2253.0,2264,2265
.Salt Lake County,898429,901018,910750.0,918152.0,924802.0,934140.0,947963.0,966798.0,983719.0,999553.0,1016795.0,1029655,1033910
.San Juan County,14389,14334,13495.0,13662.0,13571.0,13723.0,13653.0,13679.0,14028.0,14436.0,14514.0,14746,14836
.Sanpete County,22722,22806,23294.0,23566.0,23866.0,24217.0,24607.0,25051.0,25846.0,26959.0,27511.0,27822,27886
.Sevier County,18840,18877,18975.0,19088.0,19192.0,19412.0,19415.0,19844.0,20236.0,20599.0,20694.0,20802,20818
.Summit County,29746,29964,30803.0,31536.0,32353.0,33271.0,34137.0,34242.0,34647.0,35229.0,35838.0,36324,36521
.Tooele County,40740,41519,43331.0,44998.0,46652.0,47894.0,49258.0,51483.0,53821.0,55909.0,57218.0,58218,58557
.Uintah County,25174,25215,25786.0,26395.0,26561.0,26994.0,27661.0,28662.0,29920.0,31009.0,32931.0,32588,32434
.Utah County,368539,371811,385671.0,397190.0,406158.0,416220.0,430697.0,448296.0,469574.0,487615.0,504801.0,516564,520049
.Wasatch County,15206,15421,16205.0,16975.0,17765.0,18349.0,19410.0,20755.0,21413.0,22120.0,22886.0,23530,23705
.Washington County,90325,91206,94512.0,99274.0,104188.0,110207.0,119000.0,126796.0,132277.0,135552.0,137088.0,138115,138451
.Wayne County,2509,2533,2532.0,2559.0,2527.0,2505.0,2510.0,2594.0,2648.0,2731.0,2788.0,2778,2768
.Weber County,196526,197437,200073.0,203045.0,205319.0,207794.0,210150.0,212656.0,217567.0,223676.0,228118.0,231236,232228
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Utah: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-49)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
