table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Tennessee: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Tennessee,5689427,5703719,5750789.0,5795918.0,5847812.0,5910809.0,5991057.0,6088766.0,6175727.0,6247411.0,6306019.0,6346105,6356897
.Anderson County,71470,71357,71461.0,71515.0,71608.0,71587.0,72040.0,73117.0,73580.0,74397.0,75031.0,75129,75160
.Bedford County,37608,37806,38414.0,38960.0,39697.0,40558.0,41616.0,42780.0,43678.0,44395.0,44845.0,45058,45161
.Benton County,16534,16537,16673.0,16572.0,16531.0,16517.0,16515.0,16435.0,16490.0,16431.0,16424.0,16489,16499
.Bledsoe County,12349,12390,12468.0,12446.0,12502.0,12610.0,12685.0,12847.0,13028.0,13070.0,12924.0,12876,12863
.Blount County,105824,106193,107916.0,109515.0,111156.0,113151.0,115336.0,118228.0,119950.0,121716.0,122689.0,123010,123119
.Bradley County,87973,88206,88934.0,89711.0,90399.0,91814.0,93024.0,94638.0,96336.0,97547.0,98360.0,98963,99078
.Campbell County,39839,39880,39802.0,39824.0,39957.0,40371.0,40397.0,40475.0,40480.0,40672.0,40790.0,40716,40696
.Cannon County,12836,12912,12990.0,12965.0,13020.0,13114.0,13153.0,13280.0,13435.0,13822.0,13823.0,13801,13795
.Carroll County,29446,29423,29447.0,29146.0,29145.0,29104.0,28707.0,28791.0,28793.0,28645.0,28474.0,28522,28518
.Carter County,56731,56789,56770.0,56682.0,57530.0,57532.0,57693.0,57877.0,57781.0,57895.0,57639.0,57424,57358
.Cheatham County,35843,35979,36377.0,36709.0,36897.0,37256.0,37668.0,38186.0,38637.0,38947.0,39170.0,39105,39103
.Chester County,15540,15549,15856.0,15900.0,15672.0,16225.0,16355.0,16491.0,16622.0,16840.0,16864.0,17131,17146
.Claiborne County,29861,29930,30095.0,30099.0,30511.0,30830.0,31206.0,31481.0,31729.0,32006.0,32056.0,32213,32234
.Clay County,7960,7968,7921.0,7924.0,7909.0,7947.0,7954.0,7977.0,7901.0,7862.0,7830.0,7861,7871
