table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Oregon: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Oregon,3421524,3429708,3467937.0,3513424.0,3547376.0,3569463.0,3613202.0,3670883.0,3722417.0,3768748.0,3808600.0,3831074,3838957
.Baker County,16742,16714,16618.0,16376.0,16312.0,16272.0,16086.0,16094.0,16139.0,16195.0,16225.0,16134,16097
.Benton County,78143,78236,78491.0,80203.0,80322.0,80149.0,80943.0,81957.0,83718.0,84150.0,85390.0,85579,85575
.Clackamas County,338407,339223,343444.0,348951.0,352032.0,355758.0,359308.0,363508.0,366808.0,371103.0,374085.0,375992,376891
.Clatsop County,35634,35560,35509.0,35519.0,35612.0,35912.0,36282.0,36603.0,36818.0,36825.0,36972.0,37039,37070
.Columbia County,43553,43634,44196.0,45104.0,45636.0,46192.0,46955.0,48184.0,48898.0,49209.0,49394.0,49351,49343
.Coos County,62795,62662,62190.0,62286.0,62625.0,63208.0,63843.0,63844.0,63420.0,63226.0,63079.0,63043,63025
.Crook County,19175,19262,19705.0,19779.0,20011.0,20643.0,21019.0,21673.0,21818.0,21811.0,21410.0,20978,20864
.Curry County,21147,21133,21250.0,21653.0,21899.0,22473.0,22750.0,22626.0,22447.0,22305.0,22341.0,22364,22337
.Deschutes County,115372,116566,120526.0,125247.0,129094.0,133756.0,140567.0,148149.0,152633.0,156820.0,157345.0,157733,157894
.Douglas County,100375,100485,100562.0,101529.0,102776.0,103965.0,105285.0,106658.0,107057.0,107316.0,107378.0,107667,107638
.Gilliam County,1910,1908,1901.0,1877.0,1823.0,1860.0,1863.0,1834.0,1816.0,1886.0,1856.0,1871,1871
.Grant County,7934,7906,7498.0,7438.0,7472.0,7415.0,7389.0,7373.0,7267.0,7303.0,7343.0,7445,7458
.Harney County,7606,7661,7491.0,7417.0,7360.0,7312.0,7211.0,7286.0,7327.0,7375.0,7432.0,7422,7399
.Hood River County,20407,20461,20397.0,20615.0,20621.0,20835.0,21022.0,21200.0,21276.0,21589.0,22015.0,22346,22451
.Jackson County,181281,181775,183835.0,186704.0,189838.0,192185.0,194701.0,196858.0,199152.0,201162.0,202301.0,203206,203462
.Jefferson County,18995,19113,19653.0,19941.0,20212.0,20339.0,20622.0,21113.0,21861.0,21885.0,21730.0,21720,21670
.Josephine County,75729,75851,76452.0,77712.0,78779.0,79729.0,80660.0,81601.0,81746.0,82389.0,82315.0,82713,82807
.Klamath County,63771,63885,64139.0,64150.0,64582.0,64841.0,65553.0,66294.0,66767.0,66732.0,66460.0,66380,66345
.Lake County,7421,7428,7538.0,7522.0,7578.0,7576.0,7558.0,7796.0,7880.0,7961.0,7901.0,7895,7872
.Lane County,323011,323492,324855.0,327506.0,330845.0,332327.0,335831.0,339926.0,344844.0,348176.0,350850.0,351715,351983
.Lincoln County,44481,44317,43854.0,44270.0,44421.0,44877.0,45347.0,45529.0,45798.0,45915.0,45989.0,46034,46054
.Linn County,103079,103020,103544.0,104561.0,106035.0,106799.0,108132.0,110764.0,112932.0,114967.0,116001.0,116672,116910
.Malheur County,31618,31540,31532.0,31455.0,31335.0,31250.0,31273.0,31303.0,31434.0,31311.0,31265.0,31313,31319
.Marion County,284844,285411,288136.0,292533.0,295317.0,297139.0,299461.0,303290.0,306964.0,309729.0,313389.0,315335,316096
.Morrow County,10995,10995,11043.0,11313.0,11317.0,11275.0,11162.0,11203.0,11048.0,11002.0,11102.0,11173,11207
.Multnomah County,660602,661654,669690.0,676653.0,679348.0,672526.0,674862.0,683767.0,697799.0,712989.0,727721.0,735334,737902
