table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Idaho: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Idaho,1293957,1299430,1319962.0,1340372.0,1363380.0,1391802.0,1428241.0,1468669.0,1505105.0,1534320.0,1554439.0,1567582,1571450
.Ada County,300953,303328,313896.0,321616.0,327393.0,334926.0,348755.0,363498.0,375368.0,382618.0,388577.0,392365,393531
.Adams County,3483,3477,3495.0,3559.0,3624.0,3693.0,3817.0,3788.0,3949.0,4021.0,4000.0,3976,3953
.Bannock County,75562,75728,76296.0,76487.0,76312.0,76834.0,77419.0,78491.0,79338.0,80609.0,81994.0,82839,83071
.Bear Lake County,6418,6424,6394.0,6219.0,6219.0,6170.0,6077.0,6071.0,6049.0,6027.0,6014.0,5986,5971
.Benewah County,9169,9186,8968.0,8917.0,8901.0,8907.0,9053.0,9260.0,9296.0,9385.0,9286.0,9285,9285
.Bingham County,41737,41753,42073.0,42101.0,42555.0,42702.0,43173.0,43396.0,43816.0,44414.0,45087.0,45607,45769
.Blaine County,18994,19115,19755.0,20189.0,20557.0,20811.0,20897.0,21082.0,21169.0,21477.0,21590.0,21376,21326
.Boise County,6644,6702,6733.0,6854.0,6977.0,7004.0,6981.0,7151.0,7229.0,7148.0,7051.0,7028,7032
.Bonner County,36809,36950,36980.0,37634.0,38382.0,38836.0,39576.0,40127.0,40738.0,40966.0,40809.0,40877,40915
.Bonneville County,82545,82968,83907.0,85060.0,86846.0,89514.0,91709.0,94756.0,97890.0,100811.0,103016.0,104234,104592
.Boundary County,9880,9913,9816.0,9834.0,9960.0,10163.0,10303.0,10530.0,10754.0,10831.0,10819.0,10972,11026
.Butte County,2897,2894,2853.0,2906.0,2842.0,2812.0,2825.0,2786.0,2838.0,2846.0,2835.0,2891,2907
.Camas County,981,968,1000.0,1025.0,1029.0,1022.0,1069.0,1073.0,1103.0,1120.0,1133.0,1117,1109
.Canyon County,131452,133082,139179.0,145160.0,151395.0,157130.0,163947.0,172188.0,179645.0,184996.0,187357.0,188923,189428
.Caribou County,7296,7281,7326.0,7161.0,7105.0,7106.0,6963.0,6886.0,6873.0,6840.0,6922.0,6963,6977
.Cassia County,21399,21393,21557.0,21504.0,21466.0,21323.0,21372.0,21281.0,21568.0,22134.0,22476.0,22952,23088
.Clark County,1022,1024,965.0,948.0,892.0,923.0,925.0,947.0,948.0,981.0,961.0,982,988
.Clearwater County,8928,8930,8689.0,8579.0,8596.0,8610.0,8659.0,8776.0,8788.0,8764.0,8761.0,8761,8740
.Custer County,4340,4336,4223.0,4143.0,4116.0,4129.0,4084.0,4155.0,4200.0,4300.0,4363.0,4368,4366
.Elmore County,29116,28610,27613.0,27047.0,25972.0,26355.0,25919.0,25927.0,26595.0,26930.0,26769.0,27038,27123
.Franklin County,11333,11350,11463.0,11687.0,11718.0,11959.0,12079.0,12085.0,12277.0,12570.0,12757.0,12786,12794
.Fremont County,11813,11769,11891.0,12029.0,12370.0,12640.0,12610.0,12770.0,13005.0,13112.0,13173.0,13242,13251
.Gem County,15179,15215,15393.0,15488.0,15693.0,15925.0,16304.0,16632.0,16833.0,16941.0,16809.0,16719,16675
.Gooding County,14150,14196,14215.0,14342.0,14483.0,14562.0,14614.0,14749.0,14963.0,15216.0,15270.0,15464,15503
.Idaho County,15506,15470,15447.0,15495.0,15410.0,15555.0,15522.0,15638.0,15770.0,15896.0,16138.0,16267,16291
.Jefferson County,19117,19193,19322.0,19802.0,20249.0,20842.0,21674.0,22439.0,23475.0,24696.0,25770.0,26140,26236
.Jerome County,18401,18493,18579.0,18730.0,18971.0,19331.0,19654.0,20111.0,20572.0,21217.0,22039.0,22374,22469
.Kootenai County,108682,109487,111542.0,113667.0,116512.0,121002.0,125972.0,129510.0,132811.0,135627.0,137407.0,138494,138901
.Latah County,34925,34878,35285.0,35183.0,35473.0,35864.0,35958.0,36251.0,36179.0,36524.0,36939.0,37244,37334
.Lemhi County,7798,7724,7593.0,7590.0,7600.0,7660.0,7708.0,7795.0,7780.0,7902.0,7870.0,7936,7957
.Lewis County,3744,3740,3599.0,3673.0,3671.0,3669.0,3665.0,3712.0,3707.0,3739.0,3832.0,3821,3816
.Lincoln County,4050,4051,4159.0,4242.0,4372.0,4441.0,4694.0,4762.0,4938.0,5041.0,5151.0,5208,5211
.Madison County,27491,27519,27699.0,28478.0,29997.0,31990.0,33807.0,34984.0,35771.0,36564.0,37121.0,37536,37623
.Minidoka County,20155,20103,19603.0,19542.0,19389.0,19167.0,19013.0,19046.0,19184.0,19393.0,19884.0,20069,20112
.Nez Perce County,37418,37398,36999.0,37111.0,37696.0,37798.0,38071.0,38513.0,38720.0,38810.0,39049.0,39265,39339
.Oneida County,4125,4135,4176.0,4125.0,4089.0,4086.0,4137.0,4146.0,4167.0,4201.0,4248.0,4286,4298
.Owyhee County,10644,10690,10877.0,10876.0,11033.0,10990.0,10993.0,11114.0,11255.0,11515.0,11547.0,11526,11512
.Payette County,20584,20624,20796.0,20966.0,21133.0,21139.0,21484.0,21916.0,22437.0,22618.0,22665.0,22623,22621
.Power County,7542,7484,7422.0,7371.0,7293.0,7432.0,7426.0,7564.0,7532.0,7564.0,7628.0,7817,7879
.Shoshone County,13763,13762,13464.0,13044.0,12897.0,12781.0,12912.0,13014.0,12949.0,13031.0,12862.0,12765,12729
.Teton County,6006,6098,6455.0,6849.0,7193.0,7460.0,7814.0,8270.0,8932.0,9627.0,10041.0,10170,10193
.Twin Falls County,64286,64360,64556.0,65473.0,67092.0,68309.0,69833.0,71974.0,73738.0,75143.0,76271.0,77230,77517
.Valley County,7637,7659,7773.0,7762.0,8003.0,8283.0,8779.0,9480.0,9929.0,10060.0,9975.0,9862,9787
.Washington County,9983,9970,9936.0,9904.0,9904.0,9947.0,9995.0,10025.0,10027.0,10095.0,10173.0,10198,10205
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
