table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of South Carolina: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
South Carolina,4012023,4024223,4064995.0,4107795.0,4150297.0,4210921.0,4270150.0,4357847.0,4444110.0,4528996.0,4589872.0,4625364,4636312
.Abbeville County,26153,26229,26330.0,26311.0,26306.0,26235.0,25995.0,25821.0,25745.0,25699.0,25614.0,25417,25335
.Aiken County,142556,142742,143676.0,145226.0,146793.0,148746.0,150152.0,152577.0,154814.0,156896.0,158499.0,160099,160565
.Allendale County,11199,11193,11022.0,11114.0,11092.0,11049.0,11021.0,10882.0,10787.0,10803.0,10619.0,10419,10351
.Anderson County,165734,166304,168881.0,170287.0,171862.0,173539.0,175467.0,178579.0,181543.0,184520.0,186544.0,187126,187269
.Bamberg County,16704,16680,16580.0,16548.0,16342.0,16322.0,16360.0,16392.0,16226.0,16104.0,16022.0,15987,15949
.Barnwell County,23491,23478,23406.0,23177.0,23211.0,22980.0,22965.0,22886.0,22851.0,22761.0,22611.0,22621,22630
.Beaufort County,120931,122306,125550.0,129290.0,130998.0,136331.0,141498.0,147213.0,151411.0,156399.0,159737.0,162233,162989
.Berkeley County,142747,143410,145153.0,146733.0,148035.0,151789.0,153489.0,159501.0,164913.0,171099.0,175092.0,177843,178783
.Calhoun County,15132,15192,15301.0,15257.0,15309.0,15247.0,15212.0,15229.0,15260.0,15175.0,15268.0,15175,15126
.Charleston County,309921,310749,313065.0,317379.0,321222.0,328105.0,331589.0,334826.0,337147.0,341921.0,346795.0,350209,351482
.Cherokee County,52532,52649,53020.0,53407.0,53437.0,53642.0,53772.0,54166.0,54467.0,54981.0,55149.0,55342,55397
.Chester County,34112,34159,34064.0,34083.0,33920.0,33633.0,33373.0,33222.0,33247.0,33454.0,33210.0,33140,33096
.Chesterfield County,42765,42911,43339.0,43834.0,44107.0,44348.0,44766.0,45103.0,45708.0,46319.0,46638.0,46734,46665
.Clarendon County,32460,32528,32887.0,33094.0,33305.0,33622.0,33847.0,34094.0,34250.0,34875.0,34942.0,34971,34944
.Colleton County,38259,38304,38339.0,38463.0,38543.0,38672.0,38728.0,38608.0,38765.0,39014.0,38864.0,38892,38914
.Darlington County,67444,67523,67863.0,68247.0,68382.0,68155.0,68185.0,68424.0,68489.0,68773.0,68705.0,68681,68617
.Dillon County,30735,30699,30995.0,31000.0,31093.0,31241.0,31239.0,31373.0,31433.0,31585.0,31817.0,32062,32120
.Dorchester County,96353,96757,98683.0,101067.0,104119.0,107337.0,113235.0,120136.0,126324.0,130593.0,133560.0,136555,137476
.Edgefield County,24588,24586,24690.0,24962.0,25404.0,25819.0,26196.0,26135.0,26493.0,26774.0,27032.0,26985,26966
.Fairfield County,23388,23479,23614.0,23890.0,23904.0,24273.0,24132.0,24177.0,23917.0,24131.0,24084.0,23956,23890
.Florence County,125709,125767,126377.0,127343.0,128671.0,129855.0,130982.0,132489.0,133757.0,135032.0,136120.0,136885,137088
.Georgetown County,55823,56080,56800.0,57688.0,58387.0,59176.0,59521.0,59821.0,60277.0,60621.0,60369.0,60158,60094
.Greenville County,379648,380949,385780.0,390197.0,394242.0,399319.0,405608.0,415957.0,427970.0,438742.0,446655.0,451225,452859
.Greenwood County,66309,66303,66544.0,66996.0,67288.0,67255.0,67630.0,68091.0,68198.0,68862.0,69598.0,69661,69703
.Hampton County,21373,21344,21262.0,21186.0,21267.0,21072.0,21109.0,21104.0,21295.0,21212.0,21205.0,21090,21049
.Horry County,196558,198019,201982.0,206566.0,211725.0,219094.0,229899.0,242194.0,252464.0,260609.0,265640.0,269291,270430
.Jasper County,20672,20721,21024.0,21102.0,21236.0,21456.0,21845.0,22406.0,22971.0,23620.0,24234.0,24777,24939
.Kershaw County,52649,52851,53474.0,53714.0,54614.0,55415.0,56506.0,58060.0,59380.0,60395.0,61143.0,61697,61851
.Lancaster County,61404,61571,62250.0,63282.0,64210.0,65079.0,65875.0,66992.0,69504.0,72733.0,75394.0,76652,76889
.Laurens County,69407,69428,69407.0,68841.0,68468.0,67784.0,67629.0,67388.0,67172.0,67173.0,66897.0,66537,66500
.Lee County,20089,20088,19957.0,19970.0,20005.0,20157.0,20079.0,20001.0,19836.0,19697.0,19352.0,19220,19191
.Lexington County,216031,216873,220099.0,222761.0,226887.0,230832.0,235176.0,241219.0,246461.0,252747.0,258983.0,262391,263406
.McCormick County,9934,9957,10095.0,10110.0,10167.0,9982.0,10049.0,10166.0,10162.0,10224.0,10235.0,10233,10228
.Marion County,35475,35463,35119.0,34786.0,34690.0,34577.0,34334.0,33994.0,33842.0,33724.0,33277.0,33062,33001
.Marlboro County,28820,28800,28606.0,28599.0,28485.0,28351.0,27918.0,29199.0,29221.0,29079.0,29189.0,28933,28873
.Newberry County,35979,35958,36053.0,36244.0,36226.0,36312.0,36399.0,36746.0,37061.0,37192.0,37413.0,37508,37575
.Oconee County,66199,66434,67170.0,68194.0,68900.0,69615.0,70581.0,71490.0,72407.0,73089.0,73829.0,74273,74359
.Orangeburg County,91511,91524,91536.0,91676.0,91788.0,91691.0,92197.0,91761.0,92626.0,92886.0,92755.0,92501,92346
.Pickens County,110755,111062,111600.0,111806.0,112704.0,113554.0,114344.0,115570.0,116815.0,118330.0,119183.0,119224,119217
.Richland County,320836,321981,327446.0,331285.0,336273.0,345750.0,349003.0,357096.0,366111.0,373789.0,380245.0,384504,385745
.Saluda County,19180,19191,19191.0,19180.0,19096.0,18904.0,19131.0,19310.0,19417.0,19503.0,19677.0,19875,19926
.Spartanburg County,253957,254443,256469.0,258467.0,260223.0,261828.0,264481.0,268898.0,274215.0,279673.0,283335.0,284307,284713
.Sumter County,104687,104802,104629.0,105380.0,105112.0,106099.0,106082.0,105953.0,106014.0,106463.0,107004.0,107456,107570
.Union County,29939,29971,29813.0,29699.0,29519.0,29279.0,29241.0,29248.0,29060.0,29172.0,29100.0,28961,28867
.Williamsburg County,37219,37145,36751.0,36333.0,35592.0,35561.0,35193.0,35458.0,35444.0,35090.0,34622.0,34423,34358
.York County,164656,165620,169103.0,173021.0,177138.0,181839.0,188117.0,197892.0,208640.0,217463.0,223616.0,226073,226971
