table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Colorado: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Colorado,4302086,4326921,4425687.0,4490406.0,4528732.0,4575013.0,4631888.0,4720423.0,4803868.0,4889730.0,4972195.0,5029196,5049071
.Adams County,348076,350888,359816.0,370753.0,377464.0,384809.0,395146.0,406575.0,415746.0,424913.0,435700.0,441603,443715
.Alamosa County,14965,14954,14956.0,15114.0,15067.0,15217.0,15236.0,15196.0,15180.0,15300.0,15289.0,15445,15499
.Arapahoe County,488829,491482,502393.0,508936.0,513690.0,518971.0,524466.0,531619.0,542039.0,552461.0,563161.0,572003,575022
.Archuleta County,9894,10020,10454.0,10885.0,11089.0,11266.0,11496.0,11937.0,12262.0,12250.0,12169.0,12084,12063
.Baca County,4517,4501,4471.0,4336.0,4117.0,4064.0,3997.0,3933.0,3866.0,3806.0,3767.0,3788,3795
.Bent County,5996,5954,5841.0,5973.0,6166.0,6180.0,6118.0,6012.0,5715.0,5962.0,6425.0,6499,6510
.Boulder County,269784,271574,277597.0,279468.0,278768.0,279728.0,280241.0,284243.0,287428.0,290859.0,293190.0,294567,295166
.Broomfield County,39202,39679,41055.0,41800.0,43805.0,44867.0,46313.0,48729.0,51526.0,53181.0,54789.0,55889,56135
.Chaffee County,16250,16337,16488.0,16844.0,16921.0,17047.0,17105.0,17087.0,17377.0,17573.0,17852.0,17809,17809
.Cheyenne County,2229,2209,2179.0,2119.0,2021.0,1981.0,1939.0,1912.0,1863.0,1881.0,1843.0,1836,1830
.Clear Creek County,9263,9255,9383.0,9514.0,9402.0,9148.0,9150.0,9042.0,9152.0,9138.0,8994.0,9088,9112
.Conejos County,8400,8401,8350.0,8358.0,8310.0,8353.0,8337.0,8256.0,8217.0,8200.0,8140.0,8256,8288
.Costilla County,3661,3675,3619.0,3639.0,3645.0,3656.0,3562.0,3571.0,3567.0,3532.0,3481.0,3524,3528
.Crowley County,5514,5509,5614.0,5666.0,5464.0,5720.0,5677.0,5886.0,6015.0,5947.0,5797.0,5823,5838
.Custer County,3508,3523,3664.0,3714.0,3865.0,3911.0,3989.0,3994.0,4112.0,4107.0,4190.0,4255,4271
.Delta County,27824,27877,28069.0,28677.0,28929.0,29305.0,29389.0,29789.0,30121.0,30712.0,31156.0,30952,30885
.Denver County,553805,555651,561976.0,556790.0,552588.0,550756.0,551691.0,556895.0,564395.0,575721.0,589011.0,600158,604414
.Dolores County,1844,1847,1849.0,1870.0,1842.0,1850.0,1869.0,1973.0,1980.0,2061.0,2057.0,2064,2062
.Douglas County,175732,180121,196783.0,208911.0,220352.0,232508.0,243112.0,256136.0,267177.0,275500.0,281386.0,285465,287003
.Eagle County,41623,41961,43238.0,44227.0,44995.0,45893.0,47205.0,48476.0,49803.0,51049.0,52513.0,52197,52126
.Elbert County,19855,20060,21094.0,21678.0,21834.0,21977.0,22182.0,22423.0,22402.0,22634.0,22965.0,23086,23138
.El Paso County,516934,519938,535864.0,544145.0,547549.0,556667.0,565800.0,580251.0,586783.0,597919.0,608061.0,622263,626928
.Fremont County,46140,46245,46633.0,47019.0,46901.0,46605.0,46641.0,46873.0,46959.0,47166.0,46871.0,46824,46837
.Garfield County,43786,44257,45636.0,46925.0,47622.0,48193.0,49579.0,51594.0,53534.0,55449.0,57089.0,56389,56139
.Gilpin County,4746,4783,4781.0,4788.0,4777.0,4752.0,4810.0,4883.0,4893.0,5026.0,5352.0,5441,5478
.Grand County,12433,12496,12743.0,13158.0,13324.0,13596.0,13627.0,14003.0,14306.0,14622.0,14902.0,14843,14796
.Gunnison County,14000,14068,14206.0,14322.0,14273.0,14356.0,14456.0,14720.0,15043.0,15250.0,15356.0,15324,15312
.Hinsdale County,792,791,817.0,798.0,779.0,810.0,794.0,815.0,835.0,818.0,834.0,843,847
.Huerfano County,7859,7771,7635.0,7571.0,7428.0,7193.0,7145.0,7127.0,7051.0,7073.0,6824.0,6711,6667
.Jackson County,1577,1577,1529.0,1532.0,1512.0,1486.0,1449.0,1415.0,1407.0,1378.0,1408.0,1394,1390
.Jefferson County,525449,526251,528845.0,527851.0,524940.0,520900.0,519675.0,521662.0,524911.0,529003.0,531961.0,534543,535533
.Kiowa County,1622,1610,1550.0,1519.0,1501.0,1457.0,1467.0,1456.0,1410.0,1392.0,1378.0,1398,1399
.Kit Carson County,8013,7971,7995.0,8250.0,8133.0,8157.0,8060.0,8011.0,7954.0,8157.0,8383.0,8270,8276
.Lake County,7814,7815,7758.0,7676.0,7491.0,7434.0,7331.0,7278.0,7392.0,7450.0,7426.0,7310,7287
.La Plata County,43957,44228,45044.0,45869.0,46121.0,46728.0,47575.0,48574.0,49343.0,50291.0,51105.0,51334,51431
.Larimer County,251489,253072,260541.0,265372.0,268448.0,271510.0,275116.0,280713.0,286112.0,291650.0,296696.0,299630,300637
.Las Animas County,15212,15297,15116.0,15424.0,15706.0,15573.0,15582.0,15673.0,15734.0,15770.0,15775.0,15507,15421
.Lincoln County,6089,6070,5912.0,5936.0,5904.0,5751.0,5644.0,5530.0,5484.0,5468.0,5423.0,5467,5473
.Logan County,20566,20699,21459.0,21548.0,21825.0,21795.0,21694.0,21911.0,22163.0,22128.0,22451.0,22709,22735
.Mesa County,116939,117631,119496.0,122440.0,124994.0,127678.0,130194.0,134665.0,139434.0,143155.0,147851.0,146723,146313
.Mineral County,831,832,796.0,812.0,828.0,848.0,814.0,789.0,807.0,774.0,732.0,712,710
.Moffat County,13178,13147,13065.0,13193.0,13106.0,13175.0,12956.0,13115.0,13348.0,13585.0,13728.0,13795,13818
.Montezuma County,23822,23847,23692.0,23935.0,24255.0,24456.0,24514.0,24968.0,25157.0,25222.0,25507.0,25535,25539
.Montrose County,33438,33599,34361.0,35154.0,35767.0,36310.0,37227.0,38282.0,39673.0,40658.0,41535.0,41276,41183
.Morgan County,27172,27257,27307.0,27556.0,27736.0,27736.0,27727.0,27816.0,27745.0,27701.0,28099.0,28159,28193
.Otero County,20311,20242,20012.0,19688.0,19585.0,19436.0,19247.0,19042.0,18783.0,18726.0,18743.0,18831,18855
.Ouray County,3747,3775,3787.0,3872.0,3880.0,4003.0,4055.0,4090.0,4250.0,4405.0,4395.0,4436,4455
.Park County,14519,14670,15255.0,15760.0,16024.0,16130.0,16204.0,16230.0,16445.0,16394.0,16098.0,16206,16262
.Phillips County,4485,4455,4456.0,4497.0,4415.0,4475.0,4467.0,4414.0,4378.0,4349.0,4359.0,4442,4472
.Pitkin County,14889,14817,15013.0,15098.0,15217.0,15220.0,15399.0,15504.0,15814.0,16454.0,17008.0,17148,17163
.Prowers County,14483,14431,14182.0,14057.0,13853.0,13613.0,13480.0,13130.0,12736.0,12663.0,12593.0,12551,12546
.Pueblo County,141490,141800,144014.0,146537.0,147907.0,148654.0,149825.0,152026.0,155121.0,156748.0,157846.0,159063,159477
.Rio Blanco County,5992,5986,5868.0,5951.0,5923.0,6007.0,5945.0,6176.0,6373.0,6522.0,6779.0,6666,6620
.Rio Grande County,12425,12445,12213.0,12224.0,12296.0,12328.0,12208.0,12033.0,11852.0,11860.0,11872.0,11982,12011
.Routt County,19679,19815,20210.0,20469.0,20893.0,21162.0,21398.0,21859.0,22491.0,23135.0,23688.0,23509,23447
.Saguache County,5904,5939,6024.0,6209.0,6262.0,6365.0,6296.0,6223.0,6148.0,6179.0,6134.0,6108,6122
.San Juan County,558,562,581.0,594.0,610.0,631.0,627.0,649.0,661.0,670.0,657.0,699,710
.San Miguel County,6593,6609,6858.0,7111.0,7062.0,7038.0,7097.0,7071.0,7322.0,7366.0,7379.0,7359,7357
.Sedgwick County,2747,2746,2661.0,2694.0,2652.0,2551.0,2522.0,2474.0,2400.0,2421.0,2392.0,2379,2372
.Summit County,23560,23700,24716.0,25006.0,25408.0,25313.0,25487.0,26019.0,26603.0,27144.0,27678.0,27994,28081
.Teller County,20541,20655,21193.0,21543.0,21682.0,21678.0,21978.0,22281.0,22707.0,22725.0,22937.0,23350,23454
.Washington County,4922,4939,4874.0,5035.0,5028.0,4923.0,4912.0,4907.0,4883.0,4792.0,4800.0,4814,4803
.Weld County,180766,182782,192278.0,202234.0,208858.0,215322.0,222879.0,230703.0,237692.0,243442.0,248193.0,252825,254270
.Yuma County,9846,9823,9822.0,9762.0,9923.0,9791.0,9765.0,9784.0,9788.0,9843.0,10022.0,10043,10043
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Colorado: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-08)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
