table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Table 1. Intercensal Estimates of the Resident Population for Counties of Kentucky: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,
Kentucky,4042193,4049021,4068132.0,4089875.0,4117170.0,4146101.0,4182742.0,4219239.0,4256672.0,4289878.0,4317074.0,4339367,4346266
.Adair County,17275,17327,17584.0,17762.0,17924.0,17994.0,18128.0,18335.0,18493.0,18541.0,18729.0,18656,18614
.Allen County,17792,17820,17947.0,18219.0,18434.0,18699.0,18910.0,19272.0,19540.0,19838.0,19811.0,19956,19980
.Anderson County,19093,19151,19382.0,19315.0,19504.0,19714.0,19987.0,20519.0,20999.0,21088.0,21328.0,21421,21465
.Ballard County,8293,8304,8225.0,8164.0,8254.0,8242.0,8269.0,8204.0,8190.0,8265.0,8204.0,8249,8263
.Barren County,38045,38128,38517.0,38704.0,39164.0,39601.0,40320.0,40857.0,41435.0,41797.0,42171.0,42173,42164
.Bath County,11099,11128,11280.0,11403.0,11428.0,11447.0,11538.0,11558.0,11470.0,11647.0,11544.0,11591,11607
.Bell County,30049,30015,29561.0,29691.0,29478.0,29275.0,29130.0,28960.0,28794.0,28836.0,28667.0,28691,28706
.Boone County,86051,87108,90277.0,93323.0,96680.0,100822.0,105456.0,109295.0,112308.0,115262.0,117461.0,118811,119290
.Bourbon County,19360,19366,19443.0,19452.0,19563.0,19733.0,19908.0,19809.0,19891.0,20046.0,20027.0,19985,19964
.Boyd County,49721,49627,49595.0,49578.0,49754.0,49542.0,49403.0,49312.0,49154.0,49244.0,49362.0,49542,49580
.Boyle County,27676,27673,27472.0,27455.0,27451.0,27832.0,27922.0,28031.0,28112.0,28288.0,28297.0,28432,28497
.Bracken County,8276,8267,8334.0,8408.0,8387.0,8592.0,8533.0,8484.0,8468.0,8471.0,8473.0,8488,8499
.Breathitt County,16089,15999,15664.0,15346.0,15098.0,14975.0,14792.0,14549.0,14327.0,14249.0,14009.0,13878,13875
.Breckinridge County,18633,18682,18837.0,19030.0,19209.0,19326.0,19579.0,19590.0,19819.0,20018.0,19979.0,20059,20060
.Bullitt County,61178,61590,62596.0,63775.0,65074.0,66937.0,68620.0,70042.0,71577.0,72738.0,73743.0,74319,74473
.Butler County,12981,12991,13015.0,12952.0,12957.0,13044.0,12900.0,12925.0,12759.0,12745.0,12670.0,12690,12714
.Caldwell County,13057,13026,12843.0,12798.0,12802.0,12774.0,12816.0,12828.0,12882.0,12985.0,12996.0,12984,12978
.Calloway County,34182,34160,34439.0,34499.0,34896.0,35327.0,35788.0,36375.0,36585.0,36686.0,36886.0,37191,37281
.Campbell County,88627,88687,88843.0,88596.0,88259.0,87982.0,88047.0,88036.0,88302.0,88548.0,89664.0,90336,90532
.Carlisle County,5349,5336,5305.0,5299.0,5255.0,5261.0,5215.0,5212.0,5109.0,5093.0,5113.0,5104,5102
.Carroll County,10170,10181,10193.0,10312.0,10372.0,10379.0,10511.0,10528.0,10595.0,10744.0,10852.0,10811,10794
.Carter County,26879,26874,26991.0,27262.0,27504.0,27528.0,27767.0,27921.0,27971.0,27752.0,27785.0,27720,27675
.Casey County,15450,15466,15563.0,15679.0,15690.0,15784.0,15845.0,15900.0,15908.0,15970.0,15946.0,15955,15972
.Christian County,72402,72730,73397.0,73098.0,71547.0,71700.0,72892.0,70592.0,73128.0,72034.0,73457.0,73955,74179
.Clark County,33180,33234,33390.0,33407.0,33672.0,34025.0,34377.0,34823.0,35207.0,35256.0,35607.0,35613,35634
.Clay County,24586,24458,24203.0,23995.0,23635.0,23278.0,22946.0,22718.0,22332.0,22289.0,21950.0,21730,21698
.Clinton County,9622,9637,9696.0,9762.0,9825.0,9886.0,9932.0,9942.0,10120.0,10253.0,10227.0,10272,10262
.Crittenden County,9384,9408,9310.0,9217.0,9234.0,9126.0,9138.0,9264.0,9278.0,9408.0,9301.0,9315,9313
.Cumberland County,7150,7167,7157.0,7164.0,7151.0,7189.0,7066.0,7073.0,6959.0,6917.0,6855.0,6856,6850
.Daviess County,91542,91657,91707.0,91821.0,92457.0,92769.0,93150.0,93908.0,94647.0,95411.0,96261.0,96656,96762
.Edmonson County,11632,11639,11728.0,11763.0,11809.0,11804.0,11987.0,11957.0,12055.0,12127.0,12122.0,12161,12171
.Elliott County,6747,6767,6694.0,6700.0,6782.0,6748.0,6867.0,7151.0,7134.0,7556.0,7727.0,7852,7895
.Estill County,15315,15307,15293.0,15193.0,15014.0,14913.0,14780.0,14786.0,14778.0,14752.0,14672.0,14672,14678
.Fayette County,260527,261408,263990.0,265822.0,269904.0,272377.0,275540.0,279971.0,283291.0,287683.0,292514.0,295803,296765
.Fleming County,13787,13837,14016.0,14068.0,14230.0,14271.0,14270.0,14235.0,14349.0,14345.0,14280.0,14348,14381
.Floyd County,42451,42316,41844.0,41671.0,41325.0,41128.0,40847.0,40429.0,40261.0,39964.0,39643.0,39451,39446
.Franklin County,47703,47888,48185.0,48293.0,48246.0,48536.0,48620.0,48699.0,48795.0,49301.0,49253.0,49285,49288
.Fulton County,7755,7697,7753.0,7563.0,7427.0,7274.0,7090.0,6871.0,6861.0,6945.0,6793.0,6813,6821
.Gallatin County,7845,7866,8004.0,7891.0,8094.0,8119.0,8225.0,8253.0,8337.0,8420.0,8533.0,8589,8597
.Garrard County,14783,14844,15090.0,15505.0,15790.0,15941.0,16315.0,16595.0,16887.0,16906.0,16900.0,16912,16920
.Grant County,22350,22485,22972.0,23307.0,23619.0,23856.0,23993.0,24253.0,24544.0,24856.0,24697.0,24662,24671
.Graves County,37024,37049,36869.0,36770.0,36898.0,36789.0,36926.0,36859.0,36932.0,36862.0,36932.0,37121,37205
.Grayson County,24037,24094,24170.0,24235.0,24648.0,24962.0,25181.0,25294.0,25444.0,25558.0,25619.0,25746,25785
.Green County,11499,11526,11566.0,11543.0,11557.0,11408.0,11406.0,11454.0,11412.0,11432.0,11359.0,11258,11226
.Greenup County,36927,36836,36804.0,36600.0,36681.0,36579.0,36530.0,36827.0,36939.0,37106.0,37053.0,36910,36885
.Hancock County,8395,8424,8431.0,8424.0,8426.0,8389.0,8508.0,8542.0,8536.0,8567.0,8558.0,8565,8570
.Hardin County,92629,92919,93715.0,94136.0,93929.0,95015.0,96652.0,97539.0,98728.0,99926.0,101254.0,105543,106933
.Harlan County,33192,32935,32184.0,31938.0,31291.0,30614.0,30277.0,30113.0,29969.0,29591.0,29534.0,29278,29232
.Harrison County,17956,17997,18007.0,18009.0,18171.0,18233.0,18314.0,18483.0,18725.0,18876.0,18894.0,18846,18828
.Hart County,17459,17535,17291.0,17573.0,17741.0,17821.0,18040.0,18109.0,18172.0,18320.0,18197.0,18199,18206
.Henderson County,44837,44827,44865.0,45091.0,45214.0,45362.0,45521.0,45633.0,45696.0,46046.0,46037.0,46250,46302
.Henry County,15010,15032,15113.0,15107.0,15259.0,15327.0,15368.0,15475.0,15465.0,15511.0,15530.0,15416,15389
.Hickman County,5254,5240,5234.0,5225.0,5186.0,5093.0,5061.0,5002.0,4955.0,4957.0,4945.0,4902,4885
